location,lat,long,landmark,notes
banwa(solenzo),12.18482382,-4.085015341,clicked on town name on google maps,used town in parentheses
sourou(tougan),13.06944414,-3.061344656,clicked on town name on google maps,used town in parentheses
"kadiogo(ouagadougou, la capitale",12.42224535,-1.616329688,clicked on town name on google maps,used town in parentheses
namentenga(boulsa),12.66920912,-0.581340205,clicked on town name on google maps,used town in parentheses
sanmatenga(kaya),13.08998074,-1.090161848,clicked on town name on google maps,used town in parentheses
boulkiemdé(koudougou),12.25623133,-2.354422802,clicked on town name on google maps,used town in parentheses
boulgou(tenkodogo),11.78667361,-0.365890152,clicked on town name on google maps,used town in parentheses
tuy(houndé),11.54431773,-3.58955602,clicked on town name on google maps,used town in parentheses
passoré(yako),13.04391747,-2.284672389,clicked on town name on google maps,used town in parentheses
yatenga(ouahigouya),13.56738081,-2.411177218,clicked on town name on google maps,used town in parentheses
