location,lat,long,landmark,notes
atandi,-1.298984456,36.8069776,Kenyatta National Hospital,
awello,0.065469979,34.28796477,siaya district h,
ayuang,-0.495313912,34.73284732,Rachuonyo District Hospital,
bamburi,-4.003897815,39.69829208,bamburi health hospital,
barani,-3.22414082,40.08627707,malindi district hospital,
bendera,0.651269818,34.87616289,lugari district hospital,
bomakombi,-0.70441522,34.69546123,bitare medical centre,just outside demarcated area
bonyanchaire,-0.678288351,34.70904985,amani med centre,
buruburu phase 1,-1.278857181,36.87752154,aga khan university hospita,just outside
eastleigh,-1.269577908,36.84078563,ladnan hosp,
ganjoni,-4.063406982,39.65985288,ganjoni hosp,
githuguchu,-1.016283022,36.91457325,st jude's nursing home hosp,
gongoni,-3.826004893,39.76446172,loc of town name on google maps,
guthunguri,-1.058419348,36.77391802,holy family catholic hosp,
hidaya,-0.448244644,39.65445633,garissa county referral hosp,
idohi,0.084078524,34.7227277,vihiga county hosp,
ikengero,0.046629774,34.72621267,"ikengero salvation army church, vihinga county",
irianyi,-0.662238252,34.85472107,irianyi SDA church,
jaribu,-0.44980003,39.63990781,jaribu primary school,
juja,-1.097205267,37.02491062,juja modern hospital and maternity,
kairuri,-0.424974285,37.46462153,kairuri dispensary,
kaluoki,-1.522391812,37.26633915,machakos level 5 hosp,
kamanga,-0.400624514,34.66554334,kendu adventist hospital,
kamour,-0.448509961,39.65421677,garissa county referral hosp,
kanzia,-1.522119854,37.26569689,machakos level 5 hosp,
karianya,-0.502554,34.73417442,rachuonyo district hosp,
kau,-2.486505577,40.43775301,kau dispensary,
kerera,-0.754425695,34.82872552,kerera central SDA church,
kiangucu,-0.523215993,37.45247101,embu level 5 hosp,
kibarage,-1.250681394,36.75244144,loresho lane,maps turned this up; district matches
kileleshwa,-1.277725066,36.79054034,kileleshwa medical plaza,
kilimani,-1.283550951,36.79040057,kilimani children's clinic,
kimaiga,-1.054740122,34.4754613,kimaiga house,
kisimani,-4.025637365,39.69565977,kisimani health centre,
kisumu  ndogo,-1.253957244,36.88794055,lema chemist,
kiwandani,-3.609861016,39.8623924,kiwandani dispensary,
kwa haidari,-3.219793069,40.11219331,tawfiq hospital,
liamidi,-0.022113269,34.74408902,PAG nyang'ori health centre, (this is where maps thinks it is)
lichota,-1.114080965,34.48229518,migori airstrip,where maps says it is (and the district is right)
likwilo,0.275181264,34.76077413,kakamega county hospital,
london,-0.275922368,36.07027959,nakuru level 6 hospital,
loresho,-1.253745825,36.75036738,lion's sight loresho hosp,
mabanda,-1.041188884,37.0787284,thika level 5 hosp,
magina,-0.960800433,36.62619657,magina primary school,
maili saba,-1.255299966,36.91591022,saika medical centre,
majengo,-1.280655187,36.84627548,care hosp nairobi,
makadara,-1.296292895,36.87271104,makadara health centre,
makiwo,-3.579764276,39.89489589,kilifi beach,maps says its here
manyatta,-0.430576281,37.47760539,visionners medical c,
manyera,-1.062359051,34.47956637,migori district h,
manywanda,-0.14525758,34.47078471,manywanda primary school,
market,-0.440424441,39.66017825,garissa livestock market,
matakare,-0.540014726,37.45160569,middle of nowhere,"maps says its here, county is correct"
matere,0.285207843,34.75153374,matere police station,
mayakolo,0.275181264,34.76077413,kakamega county hospital,
mbale/nyembe,0.090242818,34.72120122,mbale high school,
mbondoni,-0.971685469,37.99497116,mbondoni health c,
mbwa kali,-1.170804963,36.83215946,kiambu district h,
mlimani,0.651451675,34.87612009,st mary's dispensary,
mnazi moja,-4.063707862,39.66663648,mnazi moja road,
morop,-0.110336674,35.94205931,morop girls secondary school,
mtondia,-3.575678316,39.86724913,mtondia dispensary,
mtwapa,-3.946691482,39.74501658,mtwapa medical clinic,
muirini,-0.923809304,37.00615886,muirini primary,
musakhwe,0.275181264,34.76077413,kakamega county hospital,
musufini,-3.223163803,40.08609972,malindi district hospital,
mususye,-1.521255838,37.26570298,machakos level 5 hosp,
muthaiga,-1.254882111,36.83204676,gertrude childrens hospital muthaiga,
mutundu,-1.170374442,36.83007059,kiambu district h,
muyunchi,0.651269818,34.87616289,lugari district hospital,
mwamba,0.633755504,35.0218391,mwamba private clinic,
ngere a & b,-0.760685911,34.57716418,ngere primary school,
ngondu,-0.369182194,35.94336408,ngondu medical c,
njiku,-1.175746093,36.75241747,karuri health centre,
nyabola,-0.425136583,34.68950586,nyabola dispensary,
nyali,-4.05187597,39.69310018,nyali police station,
nyokabaria,-0.674091366,34.77188889,kisii level 6 h,
outering,-1.267001706,36.88035515,equity afia kariobangi med c,
pan paper,0.686881781,34.99065085,pan paper primary,
plant breeding,-0.275922368,36.07027959,nakuru level 6 hospital,
rusinga,-1.396492153,36.83163364,rusinga drive nairobi,
section 58,-0.283812727,36.09431466,section 58 chemist,
shipalo,0.208604266,34.75376078,shipalo primary,
sigona/nyathuwa,-1.213613261,36.66018801,gichuru dispensary,
sinaga,0.056656404,34.51714114,sinaga secondary,
town centre,-0.448509961,39.65421677,garissa county referral hosp,
township,0.6475208,34.87395182,mufutu primary,maps says here
tudor,-4.040374335,39.66426192,tudor district hospital,
uhanya,0.065231303,34.28678507,siaya district h,
ukwala 'b',0.196054801,34.18935761,ukwala sub county h,
yombura,0.065231303,34.28678507,siaya district h,
