house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long
1,nairobi,buruburu phase 1,kenya,2009-10-24,4,0,-2.244326053019773,NA,-1.278857181,36.87752154
2,nairobi,buruburu phase 1,kenya,2009-10-24,2,2,-1.8281560714055,1,-1.278857181,36.87752154
3,nairobi,buruburu phase 1,kenya,2009-10-24,4,0,-2.79950328275027,NA,-1.278857181,36.87752154
4,nairobi,buruburu phase 1,kenya,2009-10-24,2,2,-3.002516474985879,1,-1.278857181,36.87752154
5,nairobi,buruburu phase 1,kenya,2009-10-24,4,2,-3.3125568719363567,1,-1.278857181,36.87752154
6,nairobi,buruburu phase 1,kenya,2009-10-24,4,1,-1.5749558106046064,1,-1.278857181,36.87752154
7,nairobi,buruburu phase 1,kenya,2009-10-24,4,1,-2.4511598724751575,1,-1.278857181,36.87752154
8,nairobi,buruburu phase 1,kenya,2009-10-24,6,3,-2.7274047697887145,1,-1.278857181,36.87752154
9,nairobi,buruburu phase 1,kenya,2009-10-24,5,1,-3.054262205924787,0,-1.278857181,36.87752154
10,nairobi,buruburu phase 1,kenya,2009-10-24,5,0,-2.639691317250068,NA,-1.278857181,36.87752154
11,nairobi,buruburu phase 1,kenya,2009-10-24,5,0,-3.4955055265005655,NA,-1.278857181,36.87752154
12,nairobi,buruburu phase 1,kenya,2009-11-02,7,2,-2.455750670631709,1,-1.278857181,36.87752154
13,nairobi,buruburu phase 1,kenya,2009-11-03,6,1,-3.734710263984625,1,-1.278857181,36.87752154
14,nairobi,buruburu phase 1,kenya,2009-11-03,5,2,-3.383604133721536,0,-1.278857181,36.87752154
15,nairobi,buruburu phase 1,kenya,2009-11-03,2,0,-2.8463193150458608,NA,-1.278857181,36.87752154
16,nairobi,buruburu phase 1,kenya,2009-11-02,4,2,-2.3514795990685196,1,-1.278857181,36.87752154
17,nairobi,buruburu phase 1,kenya,2009-11-07,4,0,0.4804511937912598,NA,-1.278857181,36.87752154
18,kiambu,mbwa kali,kenya,2009-11-08,1,3,-0.12634386478387635,0,-1.170804963,36.83215946
19,kiambu,sigona/nyathuwa,kenya,2009-11-08,4,2,1.3988391005406957,1,-1.213613261,36.66018801
20,kiambu,sigona/nyathuwa,kenya,2009-11-08,1,2,-0.7934494532812275,0,-1.213613261,36.66018801
21,kiambu,mbwa kali,kenya,2009-11-08,5,0,0.15875375800940753,NA,-1.170804963,36.83215946
22,kiambu,mbwa kali,kenya,2009-11-07,3,0,1.5582867959895292,NA,-1.170804963,36.83215946
23,kiambu,guthunguri,kenya,2009-11-08,2,2,-1.8281560714055,1,-1.058419348,36.773918020000004
24,kiambu,mbwa kali,kenya,2009-11-06,7,1,-3.0517691182439552,1,-1.170804963,36.83215946
25,kiambu,sigona/nyathuwa,kenya,2009-11-08,7,2,0.28592175216181237,0,-1.213613261,36.66018801
26,kiambu,sigona/nyathuwa,kenya,2009-11-08,2,2,-2.391369001961825,0,-1.213613261,36.66018801
27,kisii,kerera,kenya,2009-11-05,6,1,0.21810976724319345,1,-0.754425695,34.82872552
28,kisii,irianyi,kenya,2009-11-05,5,1,3.226196766828934,1,-0.662238252,34.85472107
29,kisii,kerera,kenya,2009-11-05,4,0,-0.307208230564491,NA,-0.754425695,34.82872552
