house,lat_ego,long_ego,remit
1,-1.278857181,36.87752154,NA
2,-1.278857181,36.87752154,1
3,-1.278857181,36.87752154,NA
4,-1.278857181,36.87752154,1
5,-1.278857181,36.87752154,1
6,-1.278857181,36.87752154,1
7,-1.278857181,36.87752154,1
8,-1.278857181,36.87752154,1
9,-1.278857181,36.87752154,NA
10,-1.278857181,36.87752154,NA
11,-1.278857181,36.87752154,NA
12,-1.278857181,36.87752154,1
13,-1.278857181,36.87752154,1
14,-1.278857181,36.87752154,NA
15,-1.278857181,36.87752154,NA
16,-1.278857181,36.87752154,1
17,-1.278857181,36.87752154,NA
18,-1.170804963,36.83215946,NA
19,-1.213613261,36.66018801,1
20,-1.213613261,36.66018801,NA
21,-1.170804963,36.83215946,NA
22,-1.170804963,36.83215946,NA
23,-1.058419348,36.773918020000004,NA
24,-1.170804963,36.83215946,1
25,-1.213613261,36.66018801,NA
26,-1.213613261,36.66018801,NA
27,-0.754425695,34.82872552,1
28,-0.662238252,34.85472107,1
29,-0.754425695,34.82872552,NA
30,-0.70441522,34.69546123,1
31,-0.754425695,34.82872552,1
32,-0.70441522,34.69546123,NA
33,-0.678288351,34.70904985,NA
34,-0.678288351,34.70904985,1
35,-0.678288351,34.70904985,NA
36,-1.522391812,37.26633915,1
37,-1.522391812,37.26633915,1
39,-1.522391812,37.26633915,NA
40,-0.283812727,36.09431466,1
41,-0.283812727,36.09431466,1
42,-0.283812727,36.09431466,NA
43,-0.283812727,36.09431466,1
44,-0.70441522,34.69546123,NA
45,-0.70441522,34.69546123,NA
46,-0.678288351,34.70904985,NA
47,-0.678288351,34.70904985,1
48,-0.70441522,34.69546123,NA
49,-0.678288351,34.70904985,NA
50,-0.678288351,34.70904985,1
51,-0.678288351,34.70904985,NA
52,-0.678288351,34.70904985,NA
53,-0.678288351,34.70904985,NA
54,-0.70441522,34.69546123,1
55,-0.70441522,34.69546123,1
56,-0.70441522,34.69546123,NA
57,-0.70441522,34.69546123,1
58,-0.70441522,34.69546123,NA
59,-0.70441522,34.69546123,NA
60,-0.674091366,34.77188889,1
61,-0.674091366,34.77188889,NA
62,-0.674091366,34.77188889,NA
63,-0.674091366,34.77188889,NA
64,-0.674091366,34.77188889,NA
65,-0.674091366,34.77188889,NA
66,-0.674091366,34.77188889,NA
67,-0.754425695,34.82872552,1
68,-0.662238252,34.85472107,NA
