location,lat,long,landmark,notes
akwa ibom,5.120896853,7.822810333,,used point offered by google maps when I zoomed out
niger    ,11.77075088,5.965481341,,used point offered by google maps when I zoomed out
lagos    ,6.520748321,3.384203145,,
rivers   ,5.562620754,6.911551961,,used point offered by google maps when I zoomed out
ondo     ,7.47926518,5.183264193,,used point offered by google maps when I zoomed out
osun     ,8.193560615,4.487944476,,
oyo      ,7.842556202,3.937773792,,
ebonyi   ,6.798527305,8.163322611,,used point offered by google maps when I zoomed out
zamfara  ,12.85348671,6.288566399,,used point offered by google maps when I zoomed out
yobe     ,13.36062663,11.38637027,,used point offered by google maps when I zoomed out
edo      ,7.282338142,5.870501381,,used point offered by google maps when I zoomed out
delta    ,6.384131022,5.762925456,,used point offered by google maps when I zoomed out
katsina  ,12.98234778,7.62486807,,
kano     ,12.00152416,8.594797632,,
abia     ,5.940505238,7.439573388,,
bauchi   ,10.30607292,9.840929751,,
imo      ,5.851172382,7.106468436,,used point offered by google maps when I zoomed out
