house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long
1,akwa ibom,abat,nigeria,4,0,1.838654293495596,NA,4.61631,7.86679
2,akwa ibom,abat,nigeria,8,0,1.095312227737208,NA,4.61631,7.86679
3,akwa ibom,abat,nigeria,7,0,1.1065853863248822,NA,4.61631,7.86679
4,akwa ibom,abat,nigeria,4,0,1.3078430573145745,NA,4.61631,7.86679
5,akwa ibom,abat,nigeria,3,0,1.2454556329906392,NA,4.61631,7.86679
6,akwa ibom,abat,nigeria,5,1,1.714814924946738,1,4.61631,7.86679
7,akwa ibom,abat,nigeria,7,2,1.0276732762111631,1,4.61631,7.86679
8,akwa ibom,abat,nigeria,6,1,1.1404048620879048,1,4.61631,7.86679
9,akwa ibom,abat,nigeria,4,1,1.1404048620879048,1,4.61631,7.86679
10,akwa ibom,abat,nigeria,5,1,1.110343105854107,0,4.61631,7.86679
11,akwa ibom,abat,nigeria,5,1,-1.215386747668737,1,4.61631,7.86679
12,akwa ibom,abat,nigeria,7,1,1.6922686077713895,0,4.61631,7.86679
13,akwa ibom,abat,nigeria,5,3,1.6944919194682004,1,4.61631,7.86679
14,akwa ibom,abat,nigeria,7,1,1.6922686077713895,1,4.61631,7.86679
15,akwa ibom,abat,nigeria,5,1,1.8529115878247309,0,4.61631,7.86679
16,akwa ibom,abat,nigeria,3,4,1.1404048620879048,1,4.61631,7.86679
17,akwa ibom,abat,nigeria,3,4,0.48367855541839433,0,4.61631,7.86679
18,akwa ibom,abat,nigeria,8,4,0.7636151364443138,1,4.61631,7.86679
19,akwa ibom,abat,nigeria,4,1,2.2978970967031653,1,4.61631,7.86679
20,akwa ibom,abat,nigeria,4,1,1.149423388958044,1,4.61631,7.86679
21,akwa ibom,abat,nigeria,6,1,0.8944781949198628,1,4.61631,7.86679
22,akwa ibom,abat,nigeria,8,1,0.7135122093879838,1,4.61631,7.86679
23,akwa ibom,abat,nigeria,6,2,0.30877540746366344,0,4.61631,7.86679
24,akwa ibom,abat,nigeria,6,1,1.6043066507668073,1,4.61631,7.86679
25,akwa ibom,abat,nigeria,5,2,1.771724527254253,1,4.61631,7.86679
26,niger,abdullahi,nigeria,20,6,-0.02454415782897884,1,9.080227094,6.01051127
27,niger,abdullahi,nigeria,4,0,1.5250309380377107,NA,9.080227094,6.01051127
28,niger,abdullahi,nigeria,11,0,2.4378990678036274,NA,9.080227094,6.01051127
29,niger,abdullahi,nigeria,13,2,2.2861874921614675,0,9.080227094,6.01051127
30,niger,abdullahi,nigeria,5,1,1.0727659105618599,0,9.080227094,6.01051127
31,niger,abdullahi,nigeria,6,0,0.2754794793292106,NA,9.080227094,6.01051127
32,niger,abdullahi,nigeria,5,0,-0.5305760683261683,NA,9.080227094,6.01051127
33,niger,abdullahi,nigeria,5,4,0.7245157658067721,0,9.080227094,6.01051127
34,niger,abdullahi,nigeria,3,0,1.1404048620879048,1,9.080227094,6.01051127
35,niger,abdullahi,nigeria,12,2,-0.5385488735642108,1,9.080227094,6.01051127
36,niger,abdullahi,nigeria,7,0,0.7050542278842898,NA,9.080227094,6.01051127
37,niger,abdullahi,nigeria,14,0,-1.9793976928643147,NA,9.080227094,6.01051127
38,niger,abdullahi,nigeria,9,0,1.3581881909401332,NA,9.080227094,6.01051127
39,niger,abdullahi,nigeria,8,0,1.5250309380377107,NA,9.080227094,6.01051127
40,niger,abdullahi,nigeria,10,0,-1.8504013835015656,NA,9.080227094,6.01051127
41,niger,abdullahi,nigeria,8,1,0.5137272142327574,0,9.080227094,6.01051127
42,niger,abdullahi,nigeria,8,0,0.5385208184476934,1,9.080227094,6.01051127
43,niger,abdullahi,nigeria,21,7,2.585045577572483,0,9.080227094,6.01051127
44,niger,abdullahi,nigeria,5,0,3.045757706035427,NA,9.080227094,6.01051127
45,niger,abdullahi,nigeria,8,0,3.005745761002847,NA,9.080227094,6.01051127
46,niger,abdullahi,nigeria,6,1,-0.6520585980433921,1,9.080227094,6.01051127
47,niger,abdullahi,nigeria,12,0,-0.8956568803461562,NA,9.080227094,6.01051127
48,niger,abdullahi,nigeria,5,0,-1.0448442935423716,NA,9.080227094,6.01051127
49,niger,abdullahi,nigeria,4,0,-1.4202025069843534,NA,9.080227094,6.01051127
50,niger,abdullahi,nigeria,21,0,2.8880011646546424,NA,9.080227094,6.01051127
51,niger,abdullahi,nigeria,15,4,-1.5897561734372831,1,9.080227094,6.01051127
52,niger,abdullahi,nigeria,5,0,0.9831254730469189,NA,9.080227094,6.01051127
53,niger,abdullahi,nigeria,5,0,1.1511221306998585,NA,9.080227094,6.01051127
54,niger,abdullahi,nigeria,3,0,1.493466093992223,NA,9.080227094,6.01051127
55,niger,abdullahi,nigeria,3,0,1.7424419314402029,NA,9.080227094,6.01051127
56,niger,abdullahi,nigeria,8,0,1.125373983971006,NA,9.080227094,6.01051127
57,niger,abdullahi,nigeria,7,0,-0.6903821567150239,NA,9.080227094,6.01051127
58,niger,abdullahi,nigeria,6,0,-0.5037540674656402,NA,9.080227094,6.01051127
59,niger,abdullahi,nigeria,5,0,-1.3658970610306578,NA,9.080227094,6.01051127
60,lagos,adedoyin,nigeria,5,3,1.2003629986399427,0,6.5961,3.3408
61,lagos,adedoyin,nigeria,4,4,2.1192049288782155,0,6.5961,3.3408
62,lagos,adedoyin,nigeria,5,1,1.8950851690110062,1,6.5961,3.3408
63,lagos,adedoyin,nigeria,10,1,1.6809954491837154,1,6.5961,3.3408
