,house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion
0,1,nairobi,buruburu phase 1,kenya,2009-10-24,4,0,-2.29570865273186,,-1.278857181,36.87752154,-1.3,36.9,-1.7419948279857635,-1.8815220594406128,2.25,0.8333333333333334,-3.928180307149887,-0.43333333333333346
1,2,nairobi,buruburu phase 1,kenya,2009-10-24,2,2,-1.8975078851688376,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.7419948279857635,-1.8815220594406128,2.25,0.8333333333333334,-3.928180307149887,-0.43333333333333346
2,3,nairobi,buruburu phase 1,kenya,2009-10-24,4,0,-2.811978855865572,,-1.278857181,36.87752154,-1.3,36.9,-1.7419948279857635,-1.8815220594406128,2.25,0.8333333333333334,-3.928180307149887,-0.43333333333333346
3,4,nairobi,buruburu phase 1,kenya,2009-10-24,2,2,-3.008395713809652,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.7419948279857635,-1.8815220594406128,2.25,0.8333333333333334,-3.928180307149887,-0.43333333333333346
4,5,nairobi,buruburu phase 1,kenya,2009-10-24,4,2,-3.320279494146605,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.7419948279857635,-1.8815220594406128,2.25,0.8333333333333334,-3.928180307149887,-0.43333333333333346
5,6,nairobi,buruburu phase 1,kenya,2009-10-24,4,1,-1.6276999870557454,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.7419948279857635,-1.8815220594406128,2.25,0.8333333333333334,-3.928180307149887,-0.43333333333333346
6,7,nairobi,buruburu phase 1,kenya,2009-10-24,4,1,-2.492088918141854,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.7419948279857635,-1.8815220594406128,2.25,0.8333333333333334,-3.928180307149887,-0.43333333333333346
7,8,nairobi,buruburu phase 1,kenya,2009-10-24,6,3,-2.750431672418403,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.7419948279857635,-1.8815220594406128,2.25,0.8333333333333334,-3.928180307149887,-0.43333333333333346
8,9,nairobi,buruburu phase 1,kenya,2009-10-24,5,1,-2.564597876231965,0.0,-1.278857181,36.87752154,-1.3,36.9,-1.7419948279857635,-1.8815220594406128,2.25,0.8333333333333334,-3.928180307149887,-0.43333333333333346
9,10,nairobi,buruburu phase 1,kenya,2009-10-24,5,0,-2.6755660905126457,,-1.278857181,36.87752154,-1.3,36.9,-1.7419948279857635,-1.8815220594406128,2.25,0.8333333333333334,-3.928180307149887,-0.43333333333333346
10,11,nairobi,buruburu phase 1,kenya,2009-10-24,5,0,-3.5033945815462357,,-1.278857181,36.87752154,-1.3,36.9,-1.7419948279857635,-1.8815220594406128,2.25,0.8333333333333334,-3.928180307149887,-0.43333333333333346
11,12,nairobi,buruburu phase 1,kenya,2009-11-02,7,2,-2.4888793251491834,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.7419948279857635,-1.8815220594406128,2.25,0.8333333333333334,-3.928180307149887,-0.43333333333333346
12,13,nairobi,buruburu phase 1,kenya,2009-11-03,6,1,-3.724496146188941,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.7419948279857635,-1.8815220594406128,2.25,0.8333333333333334,-3.928180307149887,-0.43333333333333346
13,14,nairobi,buruburu phase 1,kenya,2009-11-03,5,2,-3.3868472189081262,0.0,-1.278857181,36.87752154,-1.3,36.9,-1.7419948279857635,-1.8815220594406128,2.25,0.8333333333333334,-3.928180307149887,-0.43333333333333346
14,15,nairobi,buruburu phase 1,kenya,2009-11-03,2,0,-2.3497399559383974,,-1.278857181,36.87752154,-1.3,36.9,-1.7419948279857635,-1.8815220594406128,2.25,0.8333333333333334,-3.928180307149887,-0.43333333333333346
15,16,nairobi,buruburu phase 1,kenya,2009-11-02,4,2,-2.405191567277471,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.7419948279857635,-1.8815220594406128,2.25,0.8333333333333334,-3.928180307149887,-0.43333333333333346
16,17,nairobi,buruburu phase 1,kenya,2009-11-07,4,0,0.369446825272993,,-1.278857181,36.87752154,-1.3,36.9,-1.7419948279857635,-1.8815220594406128,2.25,0.8333333333333334,-3.928180307149887,-0.43333333333333346
17,18,kiambu,mbwa kali,kenya,2009-11-08,1,3,-0.1999338740585709,0.0,-1.170804963,36.83215946,-1.15,36.85,-1.7219763547182083,-1.8267748802900314,1.875,0.8333333333333334,-3.3153830617666245,-0.43333333333333346
18,19,kiambu,sigona/nyathuwa,kenya,2009-11-08,4,2,1.2689531630876951,1.0,-1.213613261,36.66018801,-1.2,36.65,-1.6783005118370056,-1.7926483869552612,1.9,1.0,-3.29173549413681,-0.6666666666666667
19,20,kiambu,sigona/nyathuwa,kenya,2009-11-08,1,2,-0.8971962115788565,0.0,-1.213613261,36.66018801,-1.2,36.65,-1.6783005118370056,-1.7926483869552612,1.9,1.0,-3.29173549413681,-0.6666666666666667
20,21,kiambu,mbwa kali,kenya,2009-11-08,5,0,0.0457334752267348,,-1.170804963,36.83215946,-1.15,36.85,-1.7219763547182083,-1.8267748802900314,1.875,0.8333333333333334,-3.3153830617666245,-0.43333333333333346
21,22,kiambu,mbwa kali,kenya,2009-11-07,3,0,1.459239705857913,,-1.170804963,36.83215946,-1.15,36.85,-1.7219763547182083,-1.8267748802900314,1.875,0.8333333333333334,-3.3153830617666245,-0.43333333333333346
22,23,kiambu,guthunguri,kenya,2009-11-08,2,2,-1.8975078851688376,1.0,-1.058419348,36.77391802,-1.05,36.75,-1.7143154263496398,-1.7862530946731567,1.7,1.0,-2.9876959204673765,-0.6666666666666667
23,24,kiambu,mbwa kali,kenya,2009-11-06,7,1,-3.0774777747749487,1.0,-1.170804963,36.83215946,-1.15,36.85,-1.7219763547182083,-1.8267748802900314,1.875,0.8333333333333334,-3.3153830617666245,-0.43333333333333346
24,25,kiambu,sigona/nyathuwa,kenya,2009-11-08,7,2,0.1698229626824651,0.0,-1.213613261,36.66018801,-1.2,36.65,-1.6783005118370056,-1.7926483869552612,1.9,1.0,-3.29173549413681,-0.6666666666666667
25,26,kiambu,sigona/nyathuwa,kenya,2009-11-08,2,2,-2.445297463806225,0.0,-1.213613261,36.66018801,-1.2,36.65,-1.6783005118370056,-1.7926483869552612,1.9,1.0,-3.29173549413681,-0.6666666666666667
26,27,kisii,kerera,kenya,2009-11-05,6,1,0.1016429385835832,1.0,-0.754425695,34.82872552,-0.75,34.85,-1.575954685608546,-1.7262663344542186,2.75,1.1666666666666667,-4.547221253315608,-0.8809523809523809
27,28,kisii,irianyi,kenya,2009-11-05,5,1,3.093204554804688,1.0,-0.662238252,34.85472107,-0.65,34.85,-1.6704678773880004,-1.8042995929718018,2.4,0.8333333333333334,-4.115526437759399,-0.8333333333333333
28,29,kisii,kerera,kenya,2009-11-05,4,0,-0.4080460383514879,,-0.754425695,34.82872552,-0.75,34.85,-1.575954685608546,-1.7262663344542186,2.75,1.1666666666666667,-4.547221253315608,-0.8809523809523809
29,30,kisii,bomakombi,kenya,2009-11-05,6,5,-1.4799445380000382,1.0,-0.70441522,34.69546123,-0.7,34.7,-1.7325636545817058,-1.9054208596547444,2.6666666666666665,0.5,-4.709439913431804,-0.5
30,31,kisii,kerera,kenya,2009-11-05,5,2,2.7093323599652988,1.0,-0.754425695,34.82872552,-0.75,34.85,-1.575954685608546,-1.7262663344542186,2.75,1.1666666666666667,-4.547221253315608,-0.8809523809523809
31,32,kisii,bomakombi,kenya,2009-11-05,4,0,-1.2163900327469108,,-0.70441522,34.69546123,-0.7,34.7,-1.7325636545817058,-1.9054208596547444,2.6666666666666665,0.5,-4.709439913431804,-0.5
32,33,kisii,bonyanchaire,kenya,2009-11-06,3,0,0.9527530176672548,,-0.678288351,34.70904985,-0.7,34.7,-1.7325636545817058,-1.9054208596547444,2.6666666666666665,0.5,-4.709439913431804,-0.5
33,34,kisii,bonyanchaire,kenya,2009-11-06,4,1,0.660345586574911,1.0,-0.678288351,34.70904985,-0.7,34.7,-1.7325636545817058,-1.9054208596547444,2.6666666666666665,0.5,-4.709439913431804,-0.5
34,35,kisii,bonyanchaire,kenya,2009-11-06,7,0,0.3393674028764276,,-0.678288351,34.70904985,-0.7,34.7,-1.7325636545817058,-1.9054208596547444,2.6666666666666665,0.5,-4.709439913431804,-0.5
35,36,machakos,kaluoki,kenya,2009-11-10,3,1,-1.7180253677601496,1.0,-1.522391812,37.26633915,-1.5,37.25,-1.650501787662506,-1.797680954138438,2.8333333333333335,0.6666666666666666,-4.74109814564387,-0.1666666666666664
36,37,machakos,kaluoki,kenya,2009-11-10,3,1,-0.5810709025501857,1.0,-1.522391812,37.26633915,-1.5,37.25,-1.650501787662506,-1.797680954138438,2.8333333333333335,0.6666666666666666,-4.74109814564387,-0.1666666666666664
37,39,machakos,kaluoki,kenya,2009-11-10,4,2,-1.446026458758377,1.0,-1.522391812,37.26633915,-1.5,37.25,-1.650501787662506,-1.797680954138438,2.8333333333333335,0.6666666666666666,-4.74109814564387,-0.1666666666666664
