department,district,commune,village,lat,long,landmark,notes
dakar,parcelles assainies,patte d'oie,grand medine,,,,
dakar,parcelles assainnies,patte d'oie,grand medine,,,,
dakar,parcelles assaines,patte d'oie,grand medine,,,,
dakar,parcelle assainies,patte d'oie,grand medine irregul,,,,
dakar,almadie,yoff,ngaparou,,,,
dakar,almadies,yoff,ngaparou,,,,
dakar,almadies,mermoz sacre coeur,mermoz ambassade,,,,
dakar,almadies,mermoz sacre coeur,mermoz ambassades,,,,
dakar,almadies,mermoz sacre coeur,sacre coeur ambassad,,,,
dakar,almadies,mermoz sacre coeur,mezmoz ambassade,,,,
dakar,almadies,mermoz  sacre coeur,mermoz ambassade,,,,
pikine,yeumbeul nord 03,yeumbeul nord 04,ousmane faye 05,,,,
pikine,yeumbeul nord 03,yeumbeul nord 4,ousmane faye 05,,,,
pikine,yeumbeul nord 03,yeumbeul 4,ousmane faye 05,,,,
pikine,yeumbeul nord 03,yeumbeul nord 03,ousmane faye 05,,,,
pikine,yeumbeul nord 3,yeumbeul nord 4,ousmane faye 05,,,,
pikine,yeumbeul nord 03,yeumbuel nord  04,ousmane faye 05,,,,
pikine,yeumbeul 03,yeumbeul nord 04,ousmane faye 05,,,,
pikine,thiaroye gare,thiaroye,cite la rochette,,,,
pikine,thiaroye gare,thiaroye gare,cite la rochette,,,,
pikine,thiaroye gare,pikine,cite la rochette,,,,
pikine,thiaroye,thiaroye,cite la rochette,,,,
pikine,pikine  ouest,pikine,cite lobatt fall,,,,
pikine,niaye,pikine,cite lobatt fall,,,,
pikine,pikine ouest,pikine ouest,cite lobatt fall,,,,
pikine,pikine,thiaroye,cite lobatt fall,,,,
pikine,pikine ouest,pikine,cite lobatt fall,,,,
pikine,pikine  ouest,pikine ouest,cite lobatt fall,,,,
pikine,pikine ouest,pikine ouest,cite lobatte fall,,,,
pikine,niayes,pikine,cite lobatt fall,,,,
pikine,pikine ouest,pikine 4,cite lobatt fall,,,,
pikine,pikine  ouest,pikine,cite lobatt  fall,,,,
pikine,pikine ouest,pikine  ouest,cite lobatt fall,,,,
pikine,thiaroye,pikine,cite  lobatt fall,,,,
dakar,grand dakar,hlm,hlm 6 nimzath,,,,
dakar,grand  dakar,dieupeul derkle,castor,,,,
rufisque,grand dakar,dieupeul derkle,castor,,,,
dakar,grand dakar,dieupeul derkle,castor,,,,
dakar,grand  dakar,dieupeul  derkle,castor,,,,
dakar,grand dakar,dieupeul  derkle,castor,,,,
dakar,grand dakar,dieuppeul derkle,castor,,,,
rufisque,grand  dakar,dieupeul derkle,castor,,,,
thies,,thies,hersent,,,,
thies,,,hersent,,,,
dakar,grd dakar,hlm,hlm 6 nimzatt,,,,
dakar,grd dakar,hlm,hlm 6 nimzat,,,,
dakar,grd,hlm,hlm 6 nimzat,,,,
dakar,dakar plateau,medina,gilbratar,,,,
dakar,dakar plateau,medina,gilbraltar,,,,
dakar,dakar plateau,medina,gibraltar,,,,
dakar,dakar plateau,medina,gibraltar 1,,,,
dakar,dakar plateau,medina,gilbratar 1,,,,
dakar,dakar plateau,medina,gilbraltar 1,,,,
dakar,dakar  plateau,medina,gibratar 1,,,,
dakar,gr dakar,biscuiterie,ouagou niayes.2,,,,
dakar,gr dakar,biscuiterie,ouagou niaye 2,,,,
dakar,gr dakar,biscuiterie,ouagou niayes 2,,,,
dakar,gr,biscuiterie,ouagou niayes 2,,,,
dakar,gr dakar,hlm,ouagou niayes 2,,,,
dakar,biscuiterie,gr dakar,ouagou niayes 2,,,,
dakar,almadies,mermoz sacre coeur,sacre coeur 1,,,,
dakar,almadied,mermoz sacre coeur,sacre coeur 1,,,,
dakar,almadies,mermoz sacre  coeur,sacre  coeur 1,,,,
dakar,almadies,mermoz sacre  coeur,sacre coeur,,,,
dakar,almadies,mermoz sacre  coeur,sacre coeur 1,,,,
dakar,almadies,mermoz sacre 1,sacre coeur 1,,,,
dakar,grd dakar,dieuppeul derkle,dieuppeul 4,,,,
dakar,grd dakar,dieuppeul dakar,dieuppeul 4,,,,
dakar,grd dakar,dieuppeul  derkle,dieuppeul 4,,,,
dakar,grd dakar,dieuppeul  derkle,dieuppeul  4,,,,
dakar,grand dakar,dieupeul,dieupeul4,,,,
dakar,grand dakar,dieupeul derkle,dieupeul 4,,,,
dakar,grd dakar,dieupeul derkle,dieuppeul 4,,,,
rufisque,dakar plateau,gueule tapee fass,gueule tapee,,,,
dakar,dakar plateau,gueule tapee fass,gueule tapee,,,,
dakar,dakar plateau,gueule tapee  fass,gueule tapee,,,,
dakar,dakar plateau,gueule tapee fass,gueule tapee 4,,,,
dakar,dakar plateau,gueule tapee fass,hlm gueule tapee,,,,
dakar,grd dakar,sicap liberte,sacre  coeur 3,,,,
dakar,grand dakar,sicap liberte,sacre coeur 3,,,,
dakar,grd dakar,sicap  liberte,sacre  coeur 3,,,,
dakar,gr dakar,sicap liberte,liberte 6,,,,
dakar,grand dakar,sicap liberte,liberte 6,,,,
dakar,grand dakar,dieuppeul derkle,dieuppeul 1,,,,
dakar,grd dakar,dieupeul derkle,dieupeul 3,,,,
dakar,grd dakar,dieuppeul  derkle,dieuppeul,,,,
dakar,grand dakar,dieupeul derkle,dieuppeul 3,,,,
dakar,grd dakar,dieupeul derkle,dieupeul 1,,,,
dakar,grd dakar,dieupeul derkle,dieupeul,,,,
dakar,gr dakar,dieupeul derkle,dieupeul,,,,
dakar,grand dakar,dieuppeul dakar,dieuppeul 1,,,,
dakar,grand dakar,dieuppul derkle,dieuppeul 1,,,,
dakar,grd dakar,dieupeul derkle,dieupeul1,,,,
dakar,grd dakar,sicap liberte,liberte 3,,,,
dakar,dakar plateau,fann point e amitie,zone b batiment,,,,
dakar,dakar  plateau,fann amitie,zone  b  batiment,,,,
dakar,dakar plateau,fann point  amitie,zone  b batiment,,,,
dakar,dakar  plateau,fann point e amitie,zone b batiment,,,,
dakar,dakar plateau,fann p e amitie,zone b batiment,,,,
dakar,dakar palteau,fann point e amitie,zone  b batiment,,,,
thies,thies,thies  ouest,mbour i,,,,
thies,thies,thies ouest,mbour i,,,,
thies,,thies ouest,mbour i,,,,
thies,,thies ouest,mbour  i,,,,
thies,,thies  ouest,mbour i,,,,
