MP_CODE,MP_NAME,MN_CODE,MN_NAME,DC_MN_C,DC_NAME,PR_CODE,PR_NAME
10101,Doringbaai,101,Matzikama,1,West Coast District Municipality,1,WESTERN CAPE
10102,Ebenhaesar,101,Matzikama,1,West Coast District Municipality,1,WESTERN CAPE
10103,Klawer,101,Matzikama,1,West Coast District Municipality,1,WESTERN CAPE
10104,Koekenaap,101,Matzikama,1,West Coast District Municipality,1,WESTERN CAPE
10105,Lutzville,101,Matzikama,1,West Coast District Municipality,1,WESTERN CAPE
10106,Matzikama,101,Matzikama,1,West Coast District Municipality,1,WESTERN CAPE
10107,Strandfontein,101,Matzikama,1,West Coast District Municipality,1,WESTERN CAPE
10108,Vanrhynsdorp,101,Matzikama,1,West Coast District Municipality,1,WESTERN CAPE
10109,Vredendal Part 1,101,Matzikama,1,West Coast District Municipality,1,WESTERN CAPE
10110,Vredendal Part 2,101,Matzikama,1,West Coast District Municipality,1,WESTERN CAPE
10111,Vredendal Part 3,101,Matzikama,1,West Coast District Municipality,1,WESTERN CAPE
10201,Cederberg,102,Cederberg,1,West Coast District Municipality,1,WESTERN CAPE
10202,Citrusdal,102,Cederberg,1,West Coast District Municipality,1,WESTERN CAPE
10203,Clanwilliam,102,Cederberg,1,West Coast District Municipality,1,WESTERN CAPE
10204,Elandsbaai,102,Cederberg,1,West Coast District Municipality,1,WESTERN CAPE
10205,Graaffwater,102,Cederberg,1,West Coast District Municipality,1,WESTERN CAPE
10206,Lamberts Bay,102,Cederberg,1,West Coast District Municipality,1,WESTERN CAPE
10301,Aurora,103,Bergrivier,1,West Coast District Municipality,1,WESTERN CAPE
10302,Bergrivier,103,Bergrivier,1,West Coast District Municipality,1,WESTERN CAPE
10303,De Hoek,103,Bergrivier,1,West Coast District Municipality,1,WESTERN CAPE
10304,Dwarskersbos,103,Bergrivier,1,West Coast District Municipality,1,WESTERN CAPE
10305,Eendekuil,103,Bergrivier,1,West Coast District Municipality,1,WESTERN CAPE
10306,Goedverwacht,103,Bergrivier,1,West Coast District Municipality,1,WESTERN CAPE
10307,Piketberg,103,Bergrivier,1,West Coast District Municipality,1,WESTERN CAPE
10308,Porterville,103,Bergrivier,1,West Coast District Municipality,1,WESTERN CAPE
10309,Redelinghuys,103,Bergrivier,1,West Coast District Municipality,1,WESTERN CAPE
10310,Velddrift,103,Bergrivier,1,West Coast District Municipality,1,WESTERN CAPE
10401,Britannia Bay,104,Saldanha Bay,1,West Coast District Municipality,1,WESTERN CAPE
10402,Hopefield,104,Saldanha Bay,1,West Coast District Municipality,1,WESTERN CAPE
10403,Jacobsbaai,104,Saldanha Bay,1,West Coast District Municipality,1,WESTERN CAPE
10404,Langebaan,104,Saldanha Bay,1,West Coast District Municipality,1,WESTERN CAPE
10405,Oudekraalfontein,104,Saldanha Bay,1,West Coast District Municipality,1,WESTERN CAPE
10406,Paternoster,104,Saldanha Bay,1,West Coast District Municipality,1,WESTERN CAPE
10407,Saldanha,104,Saldanha Bay,1,West Coast District Municipality,1,WESTERN CAPE
10408,Saldanha Bay,104,Saldanha Bay,1,West Coast District Municipality,1,WESTERN CAPE
10409,St Helena Bay,104,Saldanha Bay,1,West Coast District Municipality,1,WESTERN CAPE
10410,Swartriet,104,Saldanha Bay,1,West Coast District Municipality,1,WESTERN CAPE
10411,Vredenburg,104,Saldanha Bay,1,West Coast District Municipality,1,WESTERN CAPE
10501,Abbotsdale,105,Swartland,1,West Coast District Municipality,1,WESTERN CAPE
10502,Chatsworth,105,Swartland,1,West Coast District Municipality,1,WESTERN CAPE
10503,Darling,105,Swartland,1,West Coast District Municipality,1,WESTERN CAPE
10504,Dassen Island,105,Swartland,1,West Coast District Municipality,1,WESTERN CAPE
10505,Greater Chatsworth,105,Swartland,1,West Coast District Municipality,1,WESTERN CAPE
10506,Ilinge Lethu,105,Swartland,1,West Coast District Municipality,1,WESTERN CAPE
10507,Kalbaskraal,105,Swartland,1,West Coast District Municipality,1,WESTERN CAPE
10508,Koringberg,105,Swartland,1,West Coast District Municipality,1,WESTERN CAPE
10509,Malmesbury,105,Swartland,1,West Coast District Municipality,1,WESTERN CAPE
10510,Moorreesburg,105,Swartland,1,West Coast District Municipality,1,WESTERN CAPE
10511,Riebeek-Kasteel,105,Swartland,1,West Coast District Municipality,1,WESTERN CAPE
10512,Riebeek-Wes,105,Swartland,1,West Coast District Municipality,1,WESTERN CAPE
10513,Swartland,105,Swartland,1,West Coast District Municipality,1,WESTERN CAPE
10514,The Grotto Bay,105,Swartland,1,West Coast District Municipality,1,WESTERN CAPE
10515,Yzerfontein,105,Swartland,1,West Coast District Municipality,1,WESTERN CAPE
10601,Bella Vista,106,Witzenberg,2,Boland District Municipality,1,WESTERN CAPE
10602,Ceres,106,Witzenberg,2,Boland District Municipality,1,WESTERN CAPE
10603,eNduli,106,Witzenberg,2,Boland District Municipality,1,WESTERN CAPE
10604,Meulstroom,106,Witzenberg,2,Boland District Municipality,1,WESTERN CAPE
10605,Op-die-Berg,106,Witzenberg,2,Boland District Municipality,1,WESTERN CAPE
10606,Paerde Kraal Bosreservaat,106,Witzenberg,2,Boland District Municipality,1,WESTERN CAPE
10607,Prince Alfred Hamlet,106,Witzenberg,2,Boland District Municipality,1,WESTERN CAPE
10608,Steinthal,106,Witzenberg,2,Boland District Municipality,1,WESTERN CAPE
10609,Tulbagh,106,Witzenberg,2,Boland District Municipality,1,WESTERN CAPE
10610,Witzenberg,106,Witzenberg,2,Boland District Municipality,1,WESTERN CAPE
10611,Wolseley,106,Witzenberg,2,Boland District Municipality,1,WESTERN CAPE
10701,Dal Josafat Forest Reserve,107,Drakenstein,2,Boland District Municipality,1,WESTERN CAPE
10702,Drakenstein,107,Drakenstein,2,Boland District Municipality,1,WESTERN CAPE
10703,Drommedaris,107,Drakenstein,2,Boland District Municipality,1,WESTERN CAPE
10704,Gouda,107,Drakenstein,2,Boland District Municipality,1,WESTERN CAPE
10705,Mbekweni,107,Drakenstein,2,Boland District Municipality,1,WESTERN CAPE
10706,Paarl,107,Drakenstein,2,Boland District Municipality,1,WESTERN CAPE
10707,Paarlberg Nature Reserve,107,Drakenstein,2,Boland District Municipality,1,WESTERN CAPE
10708,Saron,107,Drakenstein,2,Boland District Municipality,1,WESTERN CAPE
10709,Victor Verster,107,Drakenstein,2,Boland District Municipality,1,WESTERN CAPE
10710,Wellington,107,Drakenstein,2,Boland District Municipality,1,WESTERN CAPE
10801,Franschhoek,108,Stellenbosch,2,Boland District Municipality,1,WESTERN CAPE
10802,Groendal,108,Stellenbosch,2,Boland District Municipality,1,WESTERN CAPE
10803,Hottentotsholland Nature Reserve,108,Stellenbosch,2,Boland District Municipality,1,WESTERN CAPE
10804,Jamestown,108,Stellenbosch,2,Boland District Municipality,1,WESTERN CAPE
10805,Jonkershoek State Forest,108,Stellenbosch,2,Boland District Municipality,1,WESTERN CAPE
10806,Khayamandi,108,Stellenbosch,2,Boland District Municipality,1,WESTERN CAPE
10807,Klapmuts,108,Stellenbosch,2,Boland District Municipality,1,WESTERN CAPE
10808,Kylemore,108,Stellenbosch,2,Boland District Municipality,1,WESTERN CAPE
10809,Languedoc,108,Stellenbosch,2,Boland District Municipality,1,WESTERN CAPE
10810,Mountain Breeze Caravan Park,108,Stellenbosch,2,Boland District Municipality,1,WESTERN CAPE
10811,Pniel,108,Stellenbosch,2,Boland District Municipality,1,WESTERN CAPE
10812,Robertsvlei,108,Stellenbosch,2,Boland District Municipality,1,WESTERN CAPE
10813,Simonsberg Forest Reserve,108,Stellenbosch,2,Boland District Municipality,1,WESTERN CAPE
10814,Stellenbosch Part 1,108,Stellenbosch,2,Boland District Municipality,1,WESTERN CAPE
10815,Wemmershoek,108,Stellenbosch,2,Boland District Municipality,1,WESTERN CAPE
10816,Wemmershoek Forest Reserve,108,Stellenbosch,2,Boland District Municipality,1,WESTERN CAPE
10817,Stellenbosch Part 2,108,Stellenbosch,2,Boland District Municipality,1,WESTERN CAPE
10901,Brandvlei,109,Breede Valley,2,Boland District Municipality,1,WESTERN CAPE
10902,Breede Valley,109,Breede Valley,2,Boland District Municipality,1,WESTERN CAPE
10903,De Doorns,109,Breede Valley,2,Boland District Municipality,1,WESTERN CAPE
10904,Haweqwas State Forest,109,Breede Valley,2,Boland District Municipality,1,WESTERN CAPE
10905,Rawsonville,109,Breede Valley,2,Boland District Municipality,1,WESTERN CAPE
10906,Riviersonderend State Forest,109,Breede Valley,2,Boland District Municipality,1,WESTERN CAPE
10907,Touwsrivier,109,Breede Valley,2,Boland District Municipality,1,WESTERN CAPE
10908,Worcester,109,Breede Valley,2,Boland District Municipality,1,WESTERN CAPE
10909,Zweletemba,109,Breede Valley,2,Boland District Municipality,1,WESTERN CAPE
11001,Ashton,110,Breede River/Winelands,2,Boland District Municipality,1,WESTERN CAPE
11002,Bonnievale,110,Breede River/Winelands,2,Boland District Municipality,1,WESTERN CAPE
11003,Breede River/Winelands,110,Breede River/Winelands,2,Boland District Municipality,1,WESTERN CAPE
11004,McGregor,110,Breede River/Winelands,2,Boland District Municipality,1,WESTERN CAPE
11005,Montagu,110,Breede River/Winelands,2,Boland District Municipality,1,WESTERN CAPE
11006,Nkqubela,110,Breede River/Winelands,2,Boland District Municipality,1,WESTERN CAPE
11007,Robertson,110,Breede River/Winelands,2,Boland District Municipality,1,WESTERN CAPE
11008,Waterval Staatbos,110,Breede River/Winelands,2,Boland District Municipality,1,WESTERN CAPE
11101,Bosmanskloof,111,Theewaterskloof,3,Overberg District Municipality,1,WESTERN CAPE
11102,Botrivier,111,Theewaterskloof,3,Overberg District Municipality,1,WESTERN CAPE
