location,lat,long,landmark,notes
city of johannesburg metropolitan municipality,-26.20525095,28.04744364,johannesburg,
ekurhuleni metropolitan municipality,-25.96312382,28.36006345,,
city of tshwane metropolitan municipality,-25.05494939,28.31764347,,
waterberg district municipality,-23.06469356,28.35738358,,
vhembe district municipality,-22.00623113,30.18053225,,
mopani district municipality,-22.21385085,30.31079749,,
capricorn district municipality,-23.02170447,29.39590913,,
sekhukhune cross boundary district municipality,-24.30784999,29.97849068,,
metsweding district municipality,-25.67102709,28.69621236,,
west rand district municipality,-26.03044155,27.51027999,,
sedibeng district municipality,-26.16167882,28.21728733,,
bohlabela district municipality,-24.64272696,31.16922033,municipal offices,
