location,parish,district,lat,long,landmark,notes
aduku township,adyeda,kwania,2.018641872,32.72157669,name,gm
aggrey zone a,ndeeba,kcc,,,,
agururu a ward cell,agururu ward a,tororo municipality,,,,
akerei,agora,soroti,1.748249986,33.5177207,akerei mosque,"gm; couldn't find place, so used mosque with same name"
akono,angolocom,erute,,,,
alimakondra,malenga,koboko,,,,
ambataraku,nyoko,aringa,,,,
amoru,bisina,usuk,,,,
andara c,labala,kilak,,,,
aswi,aarapoo,kasilo,,,,
atura,kiraba,east moyo,,,,
auch,pandwong,chua,,,,
ayivu b,otravu,maracha,,,,
bagala,seeta,mukono,,,,
bar-dege farm cell,bar-dege,gulu municipality,,,,
baridike,boroboro,erute,,,,
barracks zone c,kibuye,kcc,,,,
bataka a,makerere 1,kcc,,,,
binyonyi b,nyendo,masaka municipality,,,,
bubaale b,luzinga,buzaaya,,,,
bubbumbi,kyani,bulamogi,,,,
bubogo b,namunkesu,kigulu,,,,
bufumbula,kimaluli,bubulo,,,,
bufuta,wansimba,kagoma,,,,
bugaga/bunangwe,kabukye,budiope,,,,
bugombwa central,bugombwa,bwamba,,,,
bujumbura,northern ward,bugahya,,,,
bukamunye a,tongolo,buikwe,,,,
bukara,mulamba,bufumbira,,,,
bukenke,namiganda,bugweri,,,,
bukerekere,budhaya,bukooli,,,,
bukisa,bugwagi,budadiri,,,,
buluuta,nabbingorumba,bugabula,,,,
bumakika ii,namawanga,bungokho,,,,
bunandutu,bubenstye,bungokho,,,,
buraba,busiriwa,manjiya,,,,
buraro ii,buraro,sheema,,,,
busabala road d,najjanankumbi,kcc,,,,
busabi,chawo,samia bugwe,,,,
busaja cell,nkoma,mbale municipality,,,,
busega central,busega,kcc,,,,
busolwe south b,busolwe,bunyole,,,,
buswiriri,bugunga,bukooli,,,,
butenga,kanyike,mawokota,,,,
"butto lc 1 ""c""",bweyogerere,kyadondo,,,,
buwoya,jjungo,busiro,,,,
buziika,njeru south,buikwe,,,,
byembogo,kayonza,kooki,,,,
cell 5,muko,ruhaama,,,,
cell b b,ward iii,igara,,,,
cina,akino,terego,,,,
custom road b,central,samia bugwe,,,,
doko,namatala,municipality,,,,
falkland,katwe,masaka municipality,,,,
forest cell,prison ward,gulu municipality,,,,
gayaza nabowa,kirimya,bukoto,,,,
ggangu,busabala,kyadondo,,,,
gogonya 1 zone g,nsambya central,kcc,,,,
"good hope zone ""c""",makerere iii,kcc,,,,
"idudi ""c""",idudi,bugweri,,,,
"industrial area ""d""",bwaise 1,kcc,,,,
ireda central,ireda west,lira municipality,,,,
jubilee street,bufunda,ibanda town council,,,,
kabasanda,kasambya,mawogola,,,,
kabembe,kabembe,mukono,,,,
kaboole/butinga,soono,bubulo,,,,
kagumu 1,kagumu,kibuku,,,,
kagwara b,osia,west budama,,,,
kahenje,iterero,kajara,,,,
kaigoro,mbaale,mwenge,,,,
kakumbi,lwaki,luuka,,,,
kalangala lc1,kalangala b,bujumba,,,,
kamaiba central c,kasese town council,busongora,,,,
kamuli c a,kira,kyadondo,,,,
kanyanya quarters d,kyebando,kcc,,,,
kanyonyi,wanzogi,buruli,,,,
kasambya,kizibawo,kassanda,,,,
kasenke zone b,naguru 11,kcc,,,,
kasokoso central,kasokoso,kigulu,,,,
kasozi-ntenga,kasozi,butambala,,,,
katabi busambaga,katabi ward,entebbe municipality,,,,
katanga zavu,katanga,buhaguzi,,,,
katende east a,bugembe /katende war,butembe,,,,
katunguru pwod ating,ayuu alali,lamwo,,,,
kavule,kakoli,budaka,,,,
kawaala,kasubi,kcc,,,,
kawaala road zone c,bwaise iii,kcc,,,,
"kawafu ""a""",kabale,busiro,,,,
kawuku lc 1,namirembe,ntenjeru,,,,
keti falawo m,kawempe 1,kcc,,,,
kibingo central,kibingo,kashari,,,,
kifumbira lc 1,kamwoya 11,kcc,,,,
kigabwa,kigando,kiboga,,,,
kigaga,nateete,kcc,,,,
kigulu b,namaliri,nakifuma,,,,
kikandwa d,lungujja,kcc,,,,
kinawataka zone,mbuya 1,kcc,,,,
kinumi,kiguulya,buruuli,,,,
kirangwa,kabalega,buyanja,,,,
kirombe zone b,butabika,kcc,,,,
kironde,kabowa,kcc,,,,
kiruddu buziga,buziga,kcc,,,,
kisaasi central,kyanja,kcc,,,,
kisanje west,mukoko,kalungu,,,,
kisansa,katuntu ward,kooki,,,,
kisimbiri b,kisimbiri ward,busiro,,,,
kituule,kituule,buwekula,,,,
kiwoomya,miti,kyotera,,,,
kiyanja c,nabbingo,busiro,,,,
kiyenje,luweero tc,katikamu,,,,
kiyudaya a,central ward,mityana,,,,
kizungu zone a,lukuli,kcc,,,,
kyegobe cell,east division,fortportal municipal,,,,
kyerima a,kyerima,bbale,,,,
lalal west,lalal,agago,,,,
layibi centre a,tegwana,gulu municipality,,,,
lionga south,liwa,obongi,,,,
lobatou,kathile,dodoth,,,,
lobulio,lomuu,chekwi,,,,
lotukubor,pubec,chua,,,,
"lower nsooba ""f""",mulago iii,kcc,,,,
lubowa zone e,kibuli,kcc,,,,
lugoba zone c,kazo ward,kcc,,,,
lwadda bb,matugga,kyadondo,,,,
lwayebele,kito,bukoto,,,,
mabale 1,mabale,kibale,,,,
maganjo b lc 1,maganjo,kyadondo,,,,
maida,kitooro,bukoto,,,,
market lc1,kihiihi town,kinkizi,,,,
masese,masese,municipality,,,,
misika lc1,kihara,busongora,,,,
moyo,guda,agago,,,,
mpangati,bukimu,bamunanika,,,,
mughete,kitabu,bukonzo east,,,,
muhangi,kitule,burahya,,,,
mukasa/dening,mulamba,bugabula,,,,
mulimira,bikoto,nakawa,,,,
musoke,katwe,kcc,,,,
mutungo zone b,mutungo,kcc,,,,
muvulei ajiigo,ngwedo,buliisa,,,,
muyenga lc i,bukesa,kcc,,,,
mvule/awanjiri/aleng,central ward,okoro,,,,
nabutaka/mpiriggwa,mpiriggwa,mityana,,,,
nakinyuguzi zone c,salaama,kcc,,,,
namasuba central a,masajja,kyadondo,,,,
namumira b,namumira anthony,mukono,,,,
