location,lat,long,landmark,notes
kampala      ,0.40650199,32.58378314,,
manafwa      ,1.080860176,34.28522682,,
kamuli       ,1.098606098,33.19727579,,
nebbi        ,2.47829561,31.08523534,,
kaliro       ,0.893149843,33.50248546,,
masaka       ,-0.326027875,31.74971272,,
kanungu      ,-0.868273314,29.78831044,,
ntungamo     ,-0.862177811,30.26555803,,
ibanda       ,-0.116815407,30.49744593,,
iganga       ,0.620961291,33.47444921,,
jinja        ,0.449276214,33.20728055,,
bushenyi     ,-0.536577192,30.19713245,,
kabarole     ,0.589891211,30.25442219,,
kasese       ,0.170159066,30.07961761,,
rukungiri    ,-0.779408189,29.92466325,,
lira         ,2.239857094,32.9027007,,
wakiso       ,0.404161018,32.47870205,,
mityana      ,0.418147078,32.04526009,,
mpigi        ,0.227321967,32.32486726,,
kiboga       ,0.941109077,31.76877684,,
mbale        ,1.079600203,34.18031203,,
kamwenge     ,0.193308694,30.44810215,,
budaka       ,1.015634955,33.95051118,,
arua         ,3.030517771,30.90789588,,
mukono       ,0.354454663,32.75304281,,
kisoro       ,-1.271356875,29.69114087,,
oyam         ,2.561683255,32.46001662,,
pallisa      ,1.182894265,33.70779571,,
butalejja    ,0.983286679,33.87209128,,
sironko      ,1.230049489,34.24914731,,
bududa       ,1.002959806,34.33319751,,
busia        ,0.716407658,34.06816402,,
mayuge       ,0.456096191,33.48016713,,
tororo       ,0.678346883,34.18670649,,
bugiri       ,0.567245723,33.74673846,,
gulu         ,2.772737093,32.28772344,,
kaabong      ,3.512825484,34.1337699,,
amuria       ,2.053486836,33.63906701,,
amuru        ,2.818554744,31.86400981,,
apac         ,1.985355639,32.53441652,,
pader        ,2.881827802,33.08655984,,
nakapiripirit,1.86012295,34.72078788,,
hoima        ,1.427516915,31.34785648,,
masindi      ,1.708387556,31.71404755,,
kibaale      ,0.808436839,31.08880564,,
kabale       ,-1.242215896,29.98664611,,
luwero       ,0.858796615,32.49408961,,
soroti       ,1.713598635,33.60640541,,
kyenjojo     ,0.609343499,30.64031127,,
bundibugyo   ,0.716559594,30.06419997,,
buliisa      ,2.112457822,31.41716403,,
yumbe        ,3.483080201,31.24725359,,
koboko       ,3.434696002,30.96255715,,
moyo         ,3.662812926,31.72814263,,
adjumani     ,3.37894068,31.7840983,,
mbarara      ,-0.606199684,30.65275617,,
mubende      ,0.575466736,31.39159272,,
kitgum       ,3.287679525,32.87680531,,
rakai        ,-0.710025722,31.40843883,,
kayunga      ,0.701544994,32.90217792,,
isingiro     ,-0.425300887,30.90005539,,
nyadri       ,3.399811992,30.97117599,,
kalangala    ,-0.31833728,32.27917531,,
ssembabule   ,-0.089574708,31.45705053,district headquarters,
nakasongola  ,1.311979027,32.46275428,,
katakwi      ,1.914054448,33.95745273,,
kumi,1.485674806,33.93127948,,
