house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion
1,nairobi,buruburu phase 1,kenya,10/24/2009,4,0,-2.295708653,,-1.278857181,36.87752154,-1.3,36.9,-1.741994828,-1.881522059,2.25,0.833333333,-3.928180307,-0.433333333
2,nairobi,buruburu phase 1,kenya,10/24/2009,2,2,-1.897507885,1,-1.278857181,36.87752154,-1.3,36.9,-1.741994828,-1.881522059,2.25,0.833333333,-3.928180307,-0.433333333
3,nairobi,buruburu phase 1,kenya,10/24/2009,4,0,-2.811978856,,-1.278857181,36.87752154,-1.3,36.9,-1.741994828,-1.881522059,2.25,0.833333333,-3.928180307,-0.433333333
4,nairobi,buruburu phase 1,kenya,10/24/2009,2,2,-3.008395714,1,-1.278857181,36.87752154,-1.3,36.9,-1.741994828,-1.881522059,2.25,0.833333333,-3.928180307,-0.433333333
5,nairobi,buruburu phase 1,kenya,10/24/2009,4,2,-3.320279494,1,-1.278857181,36.87752154,-1.3,36.9,-1.741994828,-1.881522059,2.25,0.833333333,-3.928180307,-0.433333333
6,nairobi,buruburu phase 1,kenya,10/24/2009,4,1,-1.627699987,1,-1.278857181,36.87752154,-1.3,36.9,-1.741994828,-1.881522059,2.25,0.833333333,-3.928180307,-0.433333333
7,nairobi,buruburu phase 1,kenya,10/24/2009,4,1,-2.492088918,1,-1.278857181,36.87752154,-1.3,36.9,-1.741994828,-1.881522059,2.25,0.833333333,-3.928180307,-0.433333333
8,nairobi,buruburu phase 1,kenya,10/24/2009,6,3,-2.750431672,1,-1.278857181,36.87752154,-1.3,36.9,-1.741994828,-1.881522059,2.25,0.833333333,-3.928180307,-0.433333333
9,nairobi,buruburu phase 1,kenya,10/24/2009,5,1,-2.564597876,0,-1.278857181,36.87752154,-1.3,36.9,-1.741994828,-1.881522059,2.25,0.833333333,-3.928180307,-0.433333333
10,nairobi,buruburu phase 1,kenya,10/24/2009,5,0,-2.675566091,,-1.278857181,36.87752154,-1.3,36.9,-1.741994828,-1.881522059,2.25,0.833333333,-3.928180307,-0.433333333
11,nairobi,buruburu phase 1,kenya,10/24/2009,5,0,-3.503394582,,-1.278857181,36.87752154,-1.3,36.9,-1.741994828,-1.881522059,2.25,0.833333333,-3.928180307,-0.433333333
12,nairobi,buruburu phase 1,kenya,11/2/2009,7,2,-2.488879325,1,-1.278857181,36.87752154,-1.3,36.9,-1.741994828,-1.881522059,2.25,0.833333333,-3.928180307,-0.433333333
13,nairobi,buruburu phase 1,kenya,11/3/2009,6,1,-3.724496146,1,-1.278857181,36.87752154,-1.3,36.9,-1.741994828,-1.881522059,2.25,0.833333333,-3.928180307,-0.433333333
14,nairobi,buruburu phase 1,kenya,11/3/2009,5,2,-3.386847219,0,-1.278857181,36.87752154,-1.3,36.9,-1.741994828,-1.881522059,2.25,0.833333333,-3.928180307,-0.433333333
15,nairobi,buruburu phase 1,kenya,11/3/2009,2,0,-2.349739956,,-1.278857181,36.87752154,-1.3,36.9,-1.741994828,-1.881522059,2.25,0.833333333,-3.928180307,-0.433333333
16,nairobi,buruburu phase 1,kenya,11/2/2009,4,2,-2.405191567,1,-1.278857181,36.87752154,-1.3,36.9,-1.741994828,-1.881522059,2.25,0.833333333,-3.928180307,-0.433333333
17,nairobi,buruburu phase 1,kenya,11/7/2009,4,0,0.369446825,,-1.278857181,36.87752154,-1.3,36.9,-1.741994828,-1.881522059,2.25,0.833333333,-3.928180307,-0.433333333
18,kiambu,mbwa kali,kenya,11/8/2009,1,3,-0.199933874,0,-1.170804963,36.83215946,-1.15,36.85,-1.721976355,-1.82677488,1.875,0.833333333,-3.315383062,-0.433333333
19,kiambu,sigona/nyathuwa,kenya,11/8/2009,4,2,1.268953163,1,-1.213613261,36.66018801,-1.2,36.65,-1.678300512,-1.792648387,1.9,1,-3.291735494,-0.666666667
20,kiambu,sigona/nyathuwa,kenya,11/8/2009,1,2,-0.897196212,0,-1.213613261,36.66018801,-1.2,36.65,-1.678300512,-1.792648387,1.9,1,-3.291735494,-0.666666667
21,kiambu,mbwa kali,kenya,11/8/2009,5,0,0.045733475,,-1.170804963,36.83215946,-1.15,36.85,-1.721976355,-1.82677488,1.875,0.833333333,-3.315383062,-0.433333333
22,kiambu,mbwa kali,kenya,11/7/2009,3,0,1.459239706,,-1.170804963,36.83215946,-1.15,36.85,-1.721976355,-1.82677488,1.875,0.833333333,-3.315383062,-0.433333333
23,kiambu,guthunguri,kenya,11/8/2009,2,2,-1.897507885,1,-1.058419348,36.77391802,-1.05,36.75,-1.714315426,-1.786253095,1.7,1,-2.98769592,-0.666666667
