house,department,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long
1171,nioro,sonkorong,senegal,7,2,-1.51786772793973,1,13.76929622,-15.58749555
384,mbour,thiarene h2,senegal,7,0,-3.10019005523989,NA,15.7668346,-13.47659022
1727,bignona,hilole,senegal,7,1,-1.72774817956823,0,12.85643014,-16.67789504
1402,matam,boinadji roumde,senegal,12,2,-2.43723877919777,1,15.66051954,-13.35041654
1514,kanel,gouriki samba diane,senegal,10,2,-3.19728626974746,1,15.43742604,-12.95155738
1750,bakel,moudery,senegal,7,2,0.0466176831696105,0,15.06745915,-12.5787737
1508,kanel,sinthiane dioude,senegal,33,5,-1.34645758960981,1,16.59843864,-14.88228312
1747,bakel,ndiaye counda,senegal,14,3,-1.90457681735586,1,14.1372415,-15.49080373
1522,kanel,sinthiane dioude,senegal,13,2,-1.98916277844878,1,16.59843864,-14.88228312
1865,podor,yelitare,senegal,14,2,-2.05905330056609,1,16.52936484,-15.20234492
1896,podor,mery,senegal,7,1,-1.45158269252145,1,16.42777753,-14.09801568
1229,diourbel,thierno kandji,senegal,10,1,-1.71278922589878,1,14.6563661,-16.23464222
921,bambeye,paye baridian,senegal,13,5,-1.75083613499743,1,14.71688363,-17.46683875
1776,kolda,doumanssou,senegal,13,1,-1.11473712000969,1,12.90032016,-14.9476098
1772,kolda,damassou,senegal,9,0,-1.98796774537222,NA,12.90032016,-14.9476098
1643,nioro,keur amath drame,senegal,24,4,-2.420559705769,1,13.78607662,-15.79470889
1590,kanel,sorry,senegal,6,0,-3.45906424442952,NA,15.20066949,-12.94539215
1880,podor,dodele,senegal,4,3,-1.40742305844117,1,16.50354464,-14.42019001
939,kebemer,medina,senegal,12,2,-2.55367291637621,1,NA,NA
1029,louga,montagne,senegal,10,1,-1.7698183583087,1,15.62330287,-16.21748196
832,diourbel,medinatoul,senegal,7,1,-0.258797686676105,1,14.73727345,-16.24237956
2,dakar,grand medine,senegal,5,1,-0.49010264044386,1,14.74795,-17.44715
1551,matam,mango,senegal,2,0,1.19574530999332,NA,15.60094582,-13.322622
1781,kolda,doumassou,senegal,5,1,0.874811596474885,1,12.90032016,-14.9476098
731,gossas,keur el hadji,senegal,3,1,-0.0938905115838952,1,14.49623916,-16.0640894
1782,kolda,doumanssou,senegal,8,1,1.33072991037169,1,12.90032016,-14.9476098
1387,matam,boinadji roumbe,senegal,8,0,0.619748596985106,1,NA,NA
350,thies,mbour i,senegal,10,1,1.78508331330359,0,14.68562239,-17.45034661
1141,kaolack,thiakho djigane,senegal,14,1,-2.27400761729345,1,13.99933823,-16.17799307
1890,st-louis,dodele,senegal,5,3,0.736232800513952,1,16.50354464,-14.42019001
415,guediawaye,cite des enseignants,senegal,6,1,1.41099255307871,1,14.77683245,-17.40519022
819,foundiougne,passy,senegal,10,4,-0.13295188544698,1,13.98543687,-16.25698786
1777,kolda,doumansou,senegal,8,1,0.197701741498011,0,12.90032016,-14.9476098
1554,matam,mango,senegal,2,0,0.271464349318792,NA,15.60094582,-13.322622
1742,bakel,ndiaye counda,senegal,19,1,-0.0263347783050982,1,14.1372415,-15.49080373
152,thies,hersent,senegal,5,1,0.680671257260141,1,14.77685,-16.90942
1860,podor,fanaye,senegal,13,6,-0.945163096017145,1,16.52599054,-15.22269493
21,dakar,grand medine,senegal,10,0,-1.617198946902,NA,14.74795,-17.44715
1435,matam,thiambe,senegal,14,2,-0.688034614667447,1,15.63263924,-13.3254062
145,thies,hersent,senegal,2,0,0.00575747479885204,NA,14.77685,-16.90942
1312,mbacke,darou khoudouss,senegal,12,3,1.1650634875751,1,14.8653417,-15.87905597
143,thies,hersent,senegal,5,0,1.40838604605758,NA,14.77685,-16.90942
1739,bakel,moudery,senegal,32,1,-0.101772167257113,0,15.06745915,-12.5787737
441,dakar,arafat,senegal,6,0,0.707994674194319,NA,14.71105977,-17.4688686
725,gossas,keur el hadj,senegal,10,1,0.557689664190603,1,NA,NA
153,thies,hersent,senegal,20,1,0.412665568489378,1,14.77685,-16.90942
854,diourbel,medinatoul nord,senegal,9,1,1.92524498939435,1,14.65733141,-16.23486005
927,kebemer,medina,senegal,7,0,1.93301060296294,1,NA,NA
823,foundiougne,passy leona,senegal,5,3,1.94595329224392,1,13.98148365,-16.3182542
1704,ziguinchor,diefaye,senegal,3,0,2.22679892856043,NA,12.57853941,-16.25514132
466,guediawaye,hlm las palmas,senegal,8,0,1.42116140507264,NA,14.77009217,-17.40633211
78,pikine,cite la rochette,senegal,3,0,-0.618415799750727,NA,14.75619,-17.36858
941,kebemer,medina,senegal,6,1,1.40468813483445,1,NA,NA
627,rufisque,niagha ouolof,senegal,7,1,1.30609570455045,0,14.80539524,-17.23892342
1774,kolda,doumanssou,senegal,19,1,-0.720517090909232,1,12.90032016,-14.9476098
1444,matam,thiambe,senegal,10,3,1.39652719925141,1,15.63263924,-13.3254062
954,louga,ndianguene ndiagne,senegal,5,1,1.34367259965267,1,NA,NA
726,gossas,keur el hadji,senegal,6,2,-0.0707097129827541,1,14.49623916,-16.0640894
18,dakar,grand medine,senegal,5,1,0.667901027669024,0,14.74795,-17.44715
1001,louga,artillerie,senegal,7,1,1.49767988101554,1,15.62705619,-16.2230668
344,thies,mbour i,senegal,7,1,1.55980478956426,1,14.68562239,-17.45034661
348,thies,mbour i,senegal,2,1,1.55980478956426,1,14.68562239,-17.45034661
991,louga,artillerie,senegal,10,0,1.27895915324775,NA,15.62705619,-16.2230668
1771,kolda,doumansou,senegal,8,0,1.38250066749562,NA,12.90032016,-14.9476098
1981,podor,dodele,senegal,20,3,-0.226021984354549,1,16.50354464,-14.42019001
251,dakar,gueule tapee,senegal,11,0,0.860899568391183,NA,14.68287,-17.45728
809,foundiougne,passy leona,senegal,2,1,2.12715094217768,1,13.98148365,-16.3182542
736,gossas,keur el hadji,senegal,6,2,2.01843235221743,1,14.49623916,-16.0640894
1364,matam,guidjilogne lodiou,senegal,11,3,0.720534243110851,1,15.9373344,-13.35219736
940,kebemer,medina,senegal,6,1,1.35143821322126,0,NA,NA
44,dakar,mermoz ambassade,senegal,6,0,2.45589919373176,NA,14.68949,-17.47308
1888,podor,dodele,senegal,16,4,-0.312125031245667,0,16.50354464,-14.42019001
999,louga,artillerie,senegal,8,1,0.254429108055185,1,15.62705619,-16.2230668
1893,podor,mery,senegal,8,0,1.18320122173341,NA,16.42777753,-14.09801568
947,louga,nianguene ndiagne,senegal,8,4,2.0667517255331,1,15.60326241,-16.16011688
605,rufisque,diokoul kaw,senegal,2,1,1.22718839612382,0,14.71694283,-17.29013219
930,kebemer,medina,senegal,3,0,1.62192969811298,NA,NA,NA
147,thies,hersent,senegal,14,0,1.83851825013094,NA,14.77685,-16.90942
1019,louga,keur serigne louga,senegal,3,0,1.38250066749562,NA,15.60644218,-16.23380986
987,louga,artellerie,senegal,2,0,0.842428828372228,NA,NA,NA
140,thies,hersent,senegal,10,1,1.99383052150274,1,14.77685,-16.90942
1039,louga,montagne,senegal,14,2,1.89418253511999,1,15.62330287,-16.21748196
112,pikine,cite lobatt fall,senegal,2,0,2.82744639675038,NA,14.74682,-17.40995
1041,louga,montagne,senegal,8,1,0.686002823497469,1,15.62330287,-16.21748196
1058,louga,santhiaba centre,senegal,14,2,1.17541763899989,1,15.6277561,-16.22782692
1740,bakel,mouderi,senegal,21,3,0.736065470248031,1,15.06857796,-12.59097186
659,mbour,tefess,senegal,5,0,2.01066673864884,NA,14.4094197,-16.97209534
1749,bakel,mouderi,senegal,23,1,0.551909491335759,1,15.06857796,-12.59097186
101,pikine,cite lobatt fall,senegal,5,0,3.1151097499944,NA,14.74682,-17.40995
340,thies,mbour i,senegal,4,0,2.67371700550841,1,14.68562239,-17.45034661
662,mbour,tefess,senegal,5,0,2.12325741431257,NA,14.4094197,-16.97209534
1610,matam,diandioly,senegal,57,0,1.15751925816342,1,15.54077403,-13.24904558
541,dakar,hlm 5,senegal,11,2,2.59097768141738,1,NA,NA
1748,bakel,modery,senegal,33,3,0.923194562689744,1,15.05700084,-12.59669046
69,pikine,ousmane faye 05,senegal,8,1,1.43427142461955,1,14.8268,-17.27016
1817,st-louis,pikine,senegal,9,5,1.92524498939435,1,16.11042196,-16.49496496
1844,st-louis,sor nord,senegal,5,3,2.65137689806197,1,16.03200409,-16.47188231
938,kebemer,medina,senegal,10,2,0.478919795001742,0,NA,NA
1026,louga,keur serigne louga,senegal,6,6,2.01843235221743,1,15.60644218,-16.23380986
3042,dakar,liberte 6,senegal,4,0,2.67371700550841,NA,14.73104,-17.46105
550,pikine,samba niang,senegal,17,0,2.32978245185782,NA,14.80972717,-15.90288816
1856,podor,yelitare,senegal,20,2,0.823279284172193,1,16.52936484,-15.20234492
1732,bakel,moudery,senegal,26,1,0.725711318823244,1,15.06745915,-12.5787737
1040,louga,montagne,senegal,27,2,1.06560819510351,1,15.62330287,-16.21748196
1006,louga,keur serigne louga,senegal,4,0,2.08698550921927,NA,15.60644218,-16.23380986
668,mbour,tefess,senegal,10,1,1.99383052150274,0,14.4094197,-16.97209534
497,dakar,pa unite 11,senegal,5,0,2.12325741431257,NA,14.75896766,-17.43245729
281,dakar,liberte 6,senegal,10,2,1.81652639943409,0,14.73104,-17.46105
472,guediawaye,hlm las palmas,senegal,10,3,2.06361410388922,1,14.77009217,-17.40633211
276,dakar,liberte 6,senegal,5,3,2.74968751932925,1,14.73104,-17.46105
161,dakar,hlm 6 nimzat,senegal,4,2,2.08055726076615,1,14.72704,-17.4436
1848,st-louis,sor nord,senegal,5,2,1.40322693951012,1,16.03200409,-16.47188231
1769,kolda,damanssou,senegal,11,0,1.31262811454324,NA,12.90032016,-14.9476098
534,dakar,hlm 5,senegal,10,3,2.37824305804586,0,NA,NA
397,guediawaye,cite des enseignants,senegal,6,2,1.45857392305169,1,14.77683245,-17.40519022
209,dakar,sacre coeur 1,senegal,9,0,2.73037622714301,NA,14.7166,-17.4627
866,diourbel,medinatoul nord,senegal,18,2,2.56499841554815,1,14.65733141,-16.23486005
737,gossas,keur el hadji,senegal,21,2,-0.0124676112183308,1,14.49623916,-16.0640894
113,pikine,cite lobatt fall,senegal,10,1,2.55892911748352,1,14.74682,-17.40995
641,dakar,hlm 4,senegal,15,1,1.7388702637482,1,14.71207849,-17.44431032
342,thies,mbour i,senegal,4,0,1.55980478956426,NA,14.68562239,-17.45034661
137,thies,hersent,senegal,4,2,3.28521366625875,1,14.77685,-16.90942
1751,bakel,mouderi,senegal,44,6,0.211919376323183,1,15.06857796,-12.59097186
1529,kanel,yirla,senegal,21,0,2.50662219310694,NA,15.60553632,-13.18272101
1015,louga,keur serigne louga s,senegal,9,1,1.92524498939435,1,NA,NA
540,dakar,hlm 5,senegal,5,1,2.01066673864884,1,NA,NA
391,mbour,thiarene h2,senegal,7,1,-2.62708154379858,0,15.7668346,-13.47659022
1135,kaolack,raymon hamady baid,senegal,8,0,-2.72809531036566,NA,13.95111667,-16.14733245
