house,country,hh_size,migrant_num,wealth_index,remit,municipality,lat,long,district
1,south_africa,1,0,-3.484753242393622,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
2,south_africa,5,0,-0.304825260432498,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
3,south_africa,1,0,-1.1474315617537403,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
4,south_africa,7,0,-0.16671592898222004,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
5,south_africa,4,0,-0.49413741961808033,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
6,south_africa,5,0,-1.7848128510806058,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
7,south_africa,4,0,-0.304825260432498,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
8,south_africa,3,0,-0.304825260432498,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
9,south_africa,2,0,-1.007534093554986,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
10,south_africa,1,0,0.8934689034603054,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
11,south_africa,6,0,-0.304825260432498,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
12,south_africa,6,0,-0.9933143889710999,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
13,south_africa,6,0,1.3784950403262703,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
14,south_africa,2,0,-1.8753559302421887,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
15,south_africa,3,0,-2.6410859912636933,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
16,south_africa,1,2,-2.9997252691279033,1,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
17,south_africa,1,0,-2.79626411385502,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
18,south_africa,2,0,-2.7192055274637,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
19,south_africa,5,0,0.5575044795279581,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
20,south_africa,6,0,0.5575044795279581,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
21,south_africa,1,0,0.542092762249694,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
22,south_africa,6,0,-0.36719855716788297,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
23,south_africa,6,0,-0.43921899457592406,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
24,south_africa,2,1,-0.13098464901064377,1,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
25,south_africa,4,0,-2.4394025661923573,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
26,south_africa,9,0,-0.9559526443973666,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
27,south_africa,6,0,-1.7269414097598659,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
28,south_africa,3,0,-0.9739722408460196,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
29,south_africa,6,0,1.3206254354052842,1,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
30,south_africa,6,0,-0.7202750298087616,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
31,south_africa,3,1,1.2281551317357,1,merafong city,-26.4169,27.3995,west rand district municipality
32,south_africa,3,0,-0.1501717940812236,NA,merafong city,-26.4169,27.3995,west rand district municipality
33,south_africa,3,0,-0.07311320768990348,NA,merafong city,-26.4169,27.3995,west rand district municipality
34,south_africa,6,0,-0.1501717940812236,NA,merafong city,-26.4169,27.3995,west rand district municipality
35,south_africa,5,0,-0.0816752728444946,1,merafong city,-26.4169,27.3995,west rand district municipality
36,south_africa,5,0,1.7200673634491854,NA,merafong city,-26.4169,27.3995,west rand district municipality
37,south_africa,6,0,-1.0895601204329997,NA,merafong city,-26.4169,27.3995,west rand district municipality
38,south_africa,3,0,-2.070295290425981,NA,merafong city,-26.4169,27.3995,west rand district municipality
39,south_africa,2,0,1.621307088986179,NA,merafong city,-26.4169,27.3995,west rand district municipality
40,south_africa,2,0,0.0195864896573871,NA,merafong city,-26.4169,27.3995,west rand district municipality
41,south_africa,3,0,-0.10884448766147975,NA,merafong city,-26.4169,27.3995,west rand district municipality
42,south_africa,3,0,-0.08444871608713056,NA,merafong city,-26.4169,27.3995,west rand district municipality
