house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long
1,kampala,busabala road d,senegal,2,1,3.0017660760606,0,0.276867,32.57624
2,kampala,busabala road d,senegal,1,0,3.20415828498991,NA,0.276867,32.57624
3,kampala,busabala road d,senegal,3,2,3.26792957093286,1,0.276867,32.57624
4,kampala,busabala road d,senegal,3,1,3.88018108866505,1,0.276867,32.57624
5,kampala,busabala road d,senegal,1,1,2.69778851089632,1,0.276867,32.57624
6,kampala,busabala road d,senegal,1,1,3.16124191293422,0,0.276867,32.57624
7,kampala,busabala road d,senegal,2,0,2.81788960437273,NA,0.276867,32.57624
8,kampala,busabala road d,senegal,3,0,2.83542527997348,NA,0.276867,32.57624
9,kampala,busabala road d,senegal,2,1,4.19169226427388,0,0.276867,32.57624
10,kampala,busabala road d,senegal,2,1,3.16124191293422,0,0.276867,32.57624
11,kampala,ssebalijja zone b,senegal,3,2,3.58418352577131,0,0.31136,32.56829
12,kampala,ssebalijja zone b,senegal,4,0,3.13263099823042,NA,0.31136,32.56829
13,kampala,ssebalijja zone b,senegal,2,1,2.61195576678493,0,0.31136,32.56829
14,kampala,ssebalijja zone b,senegal,2,1,3.6137952034208,0,0.31136,32.56829
15,kampala,ssebalijja zone b,senegal,5,0,3.43397622357638,NA,0.31136,32.56829
17,kampala,ssebalijja zone b,senegal,3,4,3.83726471660935,0,0.31136,32.56829
18,kampala,ssebalijja zone b,senegal,4,2,3.57989188856574,0,0.31136,32.56829
19,kampala,ssebalijja zone b,senegal,4,1,3.07540916882282,0,0.31136,32.56829
20,kampala,ssebalijja zone b,senegal,2,5,2.89528581047947,1,0.31136,32.56829
21,kampala,kizungu zone a,senegal,5,0,1.24740402622381,1,0.27584,32.59018
22,kampala,kizungu zone a,senegal,2,1,3.90879200336884,0,0.27584,32.59018
23,kampala,kizungu zone a,senegal,15,1,2.71465616607694,1,0.27584,32.59018
24,kampala,kizungu zone a,senegal,4,1,2.43438713483976,0,0.27584,32.59018
25,kampala,kizungu zone a,senegal,5,0,3.57703079709536,NA,0.27584,32.59018
26,kampala,kizungu zone a,senegal,6,2,-0.728916391615514,0,0.27584,32.59018
27,kampala,kizungu zone a,senegal,5,0,3.58724898091815,NA,0.27584,32.59018
28,kampala,kizungu zone a,senegal,3,0,3.11832554087852,NA,0.27584,32.59018
29,kampala,kizungu zone a,senegal,5,2,3.57703079709536,0,0.27584,32.59018
30,kampala,kizungu zone a,senegal,5,1,3.53685011221948,0,0.27584,32.59018
31,manafwa,kaboole/butinga,senegal,4,1,-0.163884677753636,1,0.88334,34.42642
32,manafwa,kaboole/butinga,senegal,3,0,-1.06362067748632,NA,0.88334,34.42642
33,manafwa,kaboole/butinga,senegal,3,0,-1.96212708493153,1,0.88334,34.42642
34,manafwa,kaboole/butinga,senegal,3,1,-1.00753680992402,0,0.88334,34.42642
35,manafwa,kaboole/butinga,senegal,5,1,-1.81111230227455,0,0.88334,34.42642
36,manafwa,kaboole/butinga,senegal,6,0,-1.48643914982937,NA,0.88334,34.42642
37,manafwa,kaboole/butinga,senegal,5,0,-0.94051950478684,NA,0.88334,34.42642
38,manafwa,kaboole/butinga,senegal,6,0,-2.5372884586048,NA,0.88334,34.42642
39,manafwa,kaboole/butinga,senegal,2,1,-1.11770614481294,1,0.88334,34.42642
40,manafwa,kaboole/butinga,senegal,10,0,-2.62585688989601,1,0.88334,34.42642
41,kamuli,bugaga/bunangwe,senegal,6,0,-1.3088705178842,NA,0.96222,33.25307
42,kamuli,bugaga/bunangwe,senegal,8,0,-0.107189452111504,NA,0.96222,33.25307
43,kamuli,bugaga/bunangwe,senegal,6,0,-2.5372884586048,NA,0.96222,33.25307
44,kamuli,bugaga/bunangwe,senegal,9,6,-1.98521684783201,0,0.96222,33.25307
45,kamuli,bugaga/bunangwe,senegal,2,8,-1.71097410081126,0,0.96222,33.25307
46,kamuli,bugaga/bunangwe,senegal,8,3,-0.389320905068341,1,0.96222,33.25307
47,kamuli,bugaga/bunangwe,senegal,8,0,-0.145116187040045,1,0.96222,33.25307
48,kamuli,bugaga/bunangwe,senegal,8,0,-2.56295629371127,NA,0.96222,33.25307
49,kamuli,bugaga/bunangwe,senegal,5,1,-1.35383344746973,0,0.96222,33.25307
50,kamuli,bugaga/bunangwe,senegal,5,0,-0.989403834649006,NA,0.96222,33.25307
51,nebbi,paila west/central,senegal,12,1,-2.21962531726571,0,2.46547,31.31556
52,nebbi,paila west/central,senegal,6,1,-1.60703477437482,1,2.46547,31.31556
53,nebbi,paila west/central,senegal,5,1,-0.643083647504122,1,2.46547,31.31556
54,nebbi,paila west/central,senegal,10,1,-1.36229767887037,0,2.46547,31.31556
55,nebbi,paila west/central,senegal,13,1,-1.19044158693564,0,2.46547,31.31556
56,nebbi,paila west/central,senegal,8,1,-2.51141323108082,0,2.46547,31.31556
57,nebbi,paila west/central,senegal,6,1,-1.0831506567964,0,2.46547,31.31556
58,nebbi,paila west/central,senegal,7,0,-2.64016234724791,NA,2.46547,31.31556
59,nebbi,paila west/central,senegal,3,0,-2.46849685902512,NA,2.46547,31.31556
60,nebbi,paila west/central,senegal,2,0,-1.73939173303141,NA,2.46547,31.31556
61,kaliro,bubbumbi,senegal,2,3,-2.42558048696943,0,0.97722,33.49732
62,kaliro,bubbumbi,senegal,6,6,-2.04795982904293,1,0.97722,33.49732
63,kaliro,bubbumbi,senegal,10,3,-0.728916391615514,0,0.97722,33.49732
64,kaliro,bubbumbi,senegal,8,0,-2.6830787193036,NA,0.97722,33.49732
65,kaliro,bubbumbi,senegal,7,0,-0.853808921590043,NA,0.97722,33.49732
66,kaliro,bubbumbi,senegal,5,0,-0.37438549658949,NA,0.97722,33.49732
67,kaliro,bubbumbi,senegal,5,0,-1.16331953153461,NA,0.97722,33.49732
68,kaliro,bubbumbi,senegal,12,5,-0.76324948926007,0,0.97722,33.49732
69,kaliro,bubbumbi,senegal,5,0,-2.48280231637702,NA,0.97722,33.49732
70,kaliro,bubbumbi,senegal,5,0,-1.6934289340169,NA,0.97722,33.49732
71,masaka,lwayebele,senegal,4,3,-0.625917098681844,0,0.7724068404,32.26219094
72,masaka,lwayebele,senegal,8,2,-0.728916391615514,0,0.7724068404,32.26219094
73,masaka,lwayebele,senegal,5,6,-1.67975342779196,0,0.7724068404,32.26219094
74,masaka,lwayebele,senegal,6,0,-2.05169531894132,NA,0.7724068404,32.26219094
75,masaka,lwayebele,senegal,5,0,-0.324946346984798,NA,0.7724068404,32.26219094
76,masaka,lwayebele,senegal,5,0,-0.66454183353197,NA,0.7724068404,32.26219094
77,masaka,lwayebele,senegal,4,1,-2.45419140167322,0,0.7724068404,32.26219094
78,masaka,lwayebele,senegal,4,0,-2.22851297017578,NA,0.7724068404,32.26219094
79,masaka,lwayebele,senegal,9,0,-0.839606811599636,NA,0.7724068404,32.26219094
80,masaka,lwayebele,senegal,1,0,-1.24610746631748,NA,0.7724068404,32.26219094
81,masaka,maida,senegal,2,2,-0.678407943468866,0,-0.3857,31.3233
82,masaka,maida,senegal,6,0,3.01495712116638,NA,-0.3857,31.3233
83,masaka,maida,senegal,5,0,2.81791093648865,NA,-0.3857,31.3233
84,masaka,maida,senegal,3,0,0.526385117627002,NA,-0.3857,31.3233
85,masaka,maida,senegal,6,2,1.29066819294205,1,-0.3857,31.3233
86,masaka,maida,senegal,7,0,0.454857830867509,NA,-0.3857,31.3233
87,masaka,maida,senegal,3,2,-0.381728828977389,1,-0.3857,31.3233
88,masaka,maida,senegal,6,3,1.77719128752461,1,-0.3857,31.3233
89,masaka,maida,senegal,6,4,1.97746769045119,0,-0.3857,31.3233
90,masaka,maida,senegal,10,3,1.17908562559725,1,-0.3857,31.3233
91,kampala,zone iv c,senegal,1,1,4.16308134957009,1,0.3231601739,32.55801405
92,kampala,zone iv c,senegal,1,1,1.90185936224908,0,0.3231601739,32.55801405
93,kampala,zone iv c,senegal,4,1,2.79250890791778,0,0.3231601739,32.55801405
