house,district,census_tract,country,date,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,lat,long
1,nairobi,buruburu phase 1,kenya,2009-10-24,-2.29570865273186,4,0,NA,NA,NA,NA,NA,-1.278857181,36.87752154
2,nairobi,buruburu phase 1,kenya,2009-10-24,-1.8975078851688376,2,2,1,hh,national,36,1,-1.278857181,36.87752154
2,nairobi,buruburu phase 1,kenya,2009-10-24,-1.8975078851688376,2,2,1,hh,national,6,1,-1.278857181,36.87752154
2,nairobi,buruburu phase 1,kenya,2009-10-24,-1.8975078851688376,2,2,1,non-hh,national,NA,1,-1.278857181,36.87752154
2,nairobi,buruburu phase 1,kenya,2009-10-24,-1.8975078851688376,2,2,1,non-hh,national,NA,1,-1.278857181,36.87752154
3,nairobi,buruburu phase 1,kenya,2009-10-24,-2.811978855865572,4,0,NA,NA,NA,NA,NA,-1.278857181,36.87752154
4,nairobi,buruburu phase 1,kenya,2009-10-24,-3.008395713809652,2,2,1,hh,international,72,1,-1.278857181,36.87752154
4,nairobi,buruburu phase 1,kenya,2009-10-24,-3.008395713809652,2,2,1,hh,national,96,NA,-1.278857181,36.87752154
5,nairobi,buruburu phase 1,kenya,2009-10-24,-3.320279494146605,4,2,1,hh,international,60,1,-1.278857181,36.87752154
5,nairobi,buruburu phase 1,kenya,2009-10-24,-3.320279494146605,4,2,1,hh,international,60,1,-1.278857181,36.87752154
6,nairobi,buruburu phase 1,kenya,2009-10-24,-1.6276999870557454,4,1,1,hh,international,25,1,-1.278857181,36.87752154
7,nairobi,buruburu phase 1,kenya,2009-10-24,-2.492088918141854,4,1,1,hh,international,27,1,-1.278857181,36.87752154
8,nairobi,buruburu phase 1,kenya,2009-10-24,-2.750431672418403,6,3,1,hh,international,2,1,-1.278857181,36.87752154
8,nairobi,buruburu phase 1,kenya,2009-10-24,-2.750431672418403,6,3,1,hh,international,60,1,-1.278857181,36.87752154
8,nairobi,buruburu phase 1,kenya,2009-10-24,-2.750431672418403,6,3,1,hh,international,24,1,-1.278857181,36.87752154
9,nairobi,buruburu phase 1,kenya,2009-10-24,-2.564597876231965,5,1,NA,hh,international,60,NA,-1.278857181,36.87752154
10,nairobi,buruburu phase 1,kenya,2009-10-24,-2.6755660905126457,5,0,NA,NA,NA,NA,NA,-1.278857181,36.87752154
11,nairobi,buruburu phase 1,kenya,2009-10-24,-3.5033945815462353,5,0,NA,NA,NA,NA,NA,-1.278857181,36.87752154
12,nairobi,buruburu phase 1,kenya,2009-11-02,-2.4888793251491834,7,2,1,hh,international,120,1,-1.278857181,36.87752154
12,nairobi,buruburu phase 1,kenya,2009-11-02,-2.4888793251491834,7,2,1,hh,national,96,1,-1.278857181,36.87752154
13,nairobi,buruburu phase 1,kenya,2009-11-03,-3.724496146188941,6,1,1,hh,international,60,1,-1.278857181,36.87752154
14,nairobi,buruburu phase 1,kenya,2009-11-03,-3.3868472189081262,5,2,NA,hh,national,4,NA,-1.278857181,36.87752154
14,nairobi,buruburu phase 1,kenya,2009-11-03,-3.3868472189081262,5,2,NA,hh,international,48,NA,-1.278857181,36.87752154
15,nairobi,buruburu phase 1,kenya,2009-11-03,-2.3497399559383974,2,0,NA,NA,NA,NA,NA,-1.278857181,36.87752154
16,nairobi,buruburu phase 1,kenya,2009-11-02,-2.405191567277471,4,2,1,hh,international,96,1,-1.278857181,36.87752154
16,nairobi,buruburu phase 1,kenya,2009-11-02,-2.405191567277471,4,2,1,hh,international,22,1,-1.278857181,36.87752154
16,nairobi,buruburu phase 1,kenya,2009-11-02,-2.405191567277471,4,2,1,non-hh,international,NA,1,-1.278857181,36.87752154
16,nairobi,buruburu phase 1,kenya,2009-11-02,-2.405191567277471,4,2,1,non-hh,international,NA,1,-1.278857181,36.87752154
17,nairobi,buruburu phase 1,kenya,2009-11-07,0.36944682527299305,4,0,NA,NA,NA,NA,NA,-1.278857181,36.87752154
18,kiambu,mbwa kali,kenya,2009-11-08,-0.19993387405857094,1,3,NA,hh,national,24,NA,-1.170804963,36.83215946
18,kiambu,mbwa kali,kenya,2009-11-08,-0.19993387405857094,1,3,NA,hh,national,26,NA,-1.170804963,36.83215946
18,kiambu,mbwa kali,kenya,2009-11-08,-0.19993387405857094,1,3,NA,hh,national,NA,NA,-1.170804963,36.83215946
19,kiambu,sigona/nyathuwa,kenya,2009-11-08,1.2689531630876953,4,2,1,hh,national,120,1,-1.213613261,36.66018801
19,kiambu,sigona/nyathuwa,kenya,2009-11-08,1.2689531630876953,4,2,1,hh,international,144,1,-1.213613261,36.66018801
20,kiambu,sigona/nyathuwa,kenya,2009-11-08,-0.8971962115788565,1,2,NA,hh,national,252,NA,-1.213613261,36.66018801
20,kiambu,sigona/nyathuwa,kenya,2009-11-08,-0.8971962115788565,1,2,NA,hh,national,324,NA,-1.213613261,36.66018801
21,kiambu,mbwa kali,kenya,2009-11-08,0.045733475226734877,5,0,NA,NA,NA,NA,NA,-1.170804963,36.83215946
22,kiambu,mbwa kali,kenya,2009-11-07,1.459239705857913,3,0,NA,NA,NA,NA,NA,-1.170804963,36.83215946
23,kiambu,guthunguri,kenya,2009-11-08,-1.8975078851688376,2,2,1,hh,national,60,NA,-1.058419348,36.773918020000004
23,kiambu,guthunguri,kenya,2009-11-08,-1.8975078851688376,2,2,1,hh,national,60,NA,-1.058419348,36.773918020000004
23,kiambu,guthunguri,kenya,2009-11-08,-1.8975078851688376,2,2,1,non-hh,international,NA,1,-1.058419348,36.773918020000004
24,kiambu,mbwa kali,kenya,2009-11-06,-3.0774777747749487,7,1,1,hh,international,120,1,-1.170804963,36.83215946
25,kiambu,sigona/nyathuwa,kenya,2009-11-08,0.16982296268246516,7,2,NA,hh,international,12,NA,-1.213613261,36.66018801
