,house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,NDVI_lat,NDVI_lon,sev_lat,sev_lon,pop_cent_lat,pop_cent_long,annual_frequency,severity,autocorrelation,avg_area,NDVI_mean,SVI_severity
0,1,nairobi,buruburu phase 1,kenya,2009-10-24,4,0,-2.29570865273186,,-1.278857181,36.87752154,-1.3,36.9,-1.3,36.9,-1.3,36.9,-1.277989674,36.87765922,2.2,-0.6893627860329368,-0.06530612244897965,462130948.84215754,0.16391197646699684,-0.7381642085049485
1,2,nairobi,buruburu phase 1,kenya,2009-10-24,2,2,-1.8975078851688376,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.3,36.9,-1.3,36.9,-1.277989674,36.87765922,2.2,-0.6893627860329368,-0.06530612244897965,462130948.84215754,0.16391197646699684,-0.7381642085049485
2,3,nairobi,buruburu phase 1,kenya,2009-10-24,4,0,-2.811978855865572,,-1.278857181,36.87752154,-1.3,36.9,-1.3,36.9,-1.3,36.9,-1.277989674,36.87765922,2.2,-0.6893627860329368,-0.06530612244897965,462130948.84215754,0.16391197646699684,-0.7381642085049485
3,4,nairobi,buruburu phase 1,kenya,2009-10-24,2,2,-3.008395713809652,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.3,36.9,-1.3,36.9,-1.277989674,36.87765922,2.2,-0.6893627860329368,-0.06530612244897965,462130948.84215754,0.16391197646699684,-0.7381642085049485
4,5,nairobi,buruburu phase 1,kenya,2009-10-24,4,2,-3.320279494146605,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.3,36.9,-1.3,36.9,-1.277989674,36.87765922,2.2,-0.6893627860329368,-0.06530612244897965,462130948.84215754,0.16391197646699684,-0.7381642085049485
5,6,nairobi,buruburu phase 1,kenya,2009-10-24,4,1,-1.6276999870557454,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.3,36.9,-1.3,36.9,-1.277989674,36.87765922,2.2,-0.6893627860329368,-0.06530612244897965,462130948.84215754,0.16391197646699684,-0.7381642085049485
6,7,nairobi,buruburu phase 1,kenya,2009-10-24,4,1,-2.492088918141854,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.3,36.9,-1.3,36.9,-1.277989674,36.87765922,2.2,-0.6893627860329368,-0.06530612244897965,462130948.84215754,0.16391197646699684,-0.7381642085049485
7,8,nairobi,buruburu phase 1,kenya,2009-10-24,6,3,-2.750431672418403,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.3,36.9,-1.3,36.9,-1.277989674,36.87765922,2.2,-0.6893627860329368,-0.06530612244897965,462130948.84215754,0.16391197646699684,-0.7381642085049485
8,9,nairobi,buruburu phase 1,kenya,2009-10-24,5,1,-2.564597876231965,0.0,-1.278857181,36.87752154,-1.3,36.9,-1.3,36.9,-1.3,36.9,-1.277989674,36.87765922,2.2,-0.6893627860329368,-0.06530612244897965,462130948.84215754,0.16391197646699684,-0.7381642085049485
9,10,nairobi,buruburu phase 1,kenya,2009-10-24,5,0,-2.6755660905126457,,-1.278857181,36.87752154,-1.3,36.9,-1.3,36.9,-1.3,36.9,-1.277989674,36.87765922,2.2,-0.6893627860329368,-0.06530612244897965,462130948.84215754,0.16391197646699684,-0.7381642085049485
10,11,nairobi,buruburu phase 1,kenya,2009-10-24,5,0,-3.5033945815462357,,-1.278857181,36.87752154,-1.3,36.9,-1.3,36.9,-1.3,36.9,-1.277989674,36.87765922,2.2,-0.6893627860329368,-0.06530612244897965,462130948.84215754,0.16391197646699684,-0.7381642085049485
11,12,nairobi,buruburu phase 1,kenya,2009-11-02,7,2,-2.4888793251491834,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.3,36.9,-1.3,36.9,-1.277989674,36.87765922,2.2,-0.6893627860329368,-0.06530612244897965,462130948.84215754,0.16391197646699684,-0.7381642085049485
12,13,nairobi,buruburu phase 1,kenya,2009-11-03,6,1,-3.724496146188941,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.3,36.9,-1.3,36.9,-1.277989674,36.87765922,2.2,-0.6893627860329368,-0.06530612244897965,462130948.84215754,0.16391197646699684,-0.7381642085049485
13,14,nairobi,buruburu phase 1,kenya,2009-11-03,5,2,-3.3868472189081262,0.0,-1.278857181,36.87752154,-1.3,36.9,-1.3,36.9,-1.3,36.9,-1.277989674,36.87765922,2.2,-0.6893627860329368,-0.06530612244897965,462130948.84215754,0.16391197646699684,-0.7381642085049485
