house,district,census_tract,country,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,lat,long
1,akwa ibom,abat,nigeria,1.838654293495596,4,0,NA,NA,NA,NA,NA,4.61631,7.86679
2,akwa ibom,abat,nigeria,1.095312227737208,8,0,NA,NA,NA,NA,NA,4.61631,7.86679
3,akwa ibom,abat,nigeria,1.1065853863248822,7,0,NA,NA,NA,NA,NA,4.61631,7.86679
4,akwa ibom,abat,nigeria,1.3078430573145745,4,0,NA,NA,NA,NA,NA,4.61631,7.86679
5,akwa ibom,abat,nigeria,1.2454556329906392,3,0,NA,NA,NA,NA,NA,4.61631,7.86679
6,akwa ibom,abat,nigeria,1.714814924946738,5,1,1,hh,national,120,1,4.61631,7.86679
7,akwa ibom,abat,nigeria,1.0276732762111631,7,2,1,hh,national,120,1,4.61631,7.86679
7,akwa ibom,abat,nigeria,1.0276732762111631,7,2,1,hh,national,240,1,4.61631,7.86679
8,akwa ibom,abat,nigeria,1.1404048620879048,6,1,1,hh,national,300,1,4.61631,7.86679
9,akwa ibom,abat,nigeria,1.1404048620879048,4,1,1,hh,national,240,1,4.61631,7.86679
10,akwa ibom,abat,nigeria,1.110343105854107,5,1,NA,hh,national,36,NA,4.61631,7.86679
11,akwa ibom,abat,nigeria,-1.215386747668737,5,1,1,hh,national,180,1,4.61631,7.86679
12,akwa ibom,abat,nigeria,1.6922686077713895,7,1,NA,hh,national,60,NA,4.61631,7.86679
13,akwa ibom,abat,nigeria,1.6944919194682004,5,3,1,hh,national,120,1,4.61631,7.86679
13,akwa ibom,abat,nigeria,1.6944919194682004,5,3,1,hh,national,84,1,4.61631,7.86679
13,akwa ibom,abat,nigeria,1.6944919194682004,5,3,1,hh,national,96,1,4.61631,7.86679
14,akwa ibom,abat,nigeria,1.6922686077713895,7,1,1,hh,national,60,1,4.61631,7.86679
15,akwa ibom,abat,nigeria,1.8529115878247309,5,1,NA,hh,national,48,NA,4.61631,7.86679
16,akwa ibom,abat,nigeria,1.1404048620879048,3,4,1,hh,national,24,NA,4.61631,7.86679
16,akwa ibom,abat,nigeria,1.1404048620879048,3,4,1,hh,national,24,NA,4.61631,7.86679
16,akwa ibom,abat,nigeria,1.1404048620879048,3,4,1,hh,national,60,1,4.61631,7.86679
16,akwa ibom,abat,nigeria,1.1404048620879048,3,4,1,hh,national,48,NA,4.61631,7.86679
17,akwa ibom,abat,nigeria,0.48367855541839433,3,4,NA,hh,international,432,NA,4.61631,7.86679
17,akwa ibom,abat,nigeria,0.48367855541839433,3,4,NA,hh,international,336,NA,4.61631,7.86679
17,akwa ibom,abat,nigeria,0.48367855541839433,3,4,NA,hh,international,456,NA,4.61631,7.86679
