house,district,census_tract,country,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,lat,long
1171,nioro,sonkorong,senegal,-1.51786772793973,7,2,1,hh,national,120,1,13.76929622,-15.58749555
1171,nioro,sonkorong,senegal,-1.51786772793973,7,2,1,hh,international,72,NA,13.76929622,-15.58749555
384,mbour,thiarene h2,senegal,-3.10019005523989,7,0,NA,NA,NA,NA,NA,15.7668346,-13.47659022
1727,bignona,hilole,senegal,-1.72774817956823,7,1,NA,hh,national,28,NA,12.85643014,-16.67789504
1402,matam,boinadji roumde,senegal,-2.43723877919777,12,2,1,hh,national,72,1,15.66051954,-13.35041654
1402,matam,boinadji roumde,senegal,-2.43723877919777,12,2,1,hh,national,28,1,15.66051954,-13.35041654
1514,kanel,gouriki samba diane,senegal,-3.19728626974746,10,2,1,hh,international,240,1,15.43742604,-12.95155738
1514,kanel,gouriki samba diane,senegal,-3.19728626974746,10,2,1,hh,international,120,1,15.43742604,-12.95155738
1750,bakel,moudery,senegal,0.0466176831696105,7,2,NA,hh,international,420,NA,15.06745915,-12.5787737
1750,bakel,moudery,senegal,0.0466176831696105,7,2,NA,hh,international,360,NA,15.06745915,-12.5787737
1508,kanel,sinthiane dioude,senegal,-1.34645758960981,33,5,1,hh,international,112,1,16.59843864,-14.88228312
1508,kanel,sinthiane dioude,senegal,-1.34645758960981,33,5,1,hh,international,396,1,16.59843864,-14.88228312
1508,kanel,sinthiane dioude,senegal,-1.34645758960981,33,5,1,hh,international,132,1,16.59843864,-14.88228312
1508,kanel,sinthiane dioude,senegal,-1.34645758960981,33,5,1,hh,international,240,1,16.59843864,-14.88228312
1508,kanel,sinthiane dioude,senegal,-1.34645758960981,33,5,1,hh,international,12,1,16.59843864,-14.88228312
1508,kanel,sinthiane dioude,senegal,-1.34645758960981,33,5,1,non-hh,international,NA,1,16.59843864,-14.88228312
1508,kanel,sinthiane dioude,senegal,-1.34645758960981,33,5,1,non-hh,national,NA,1,16.59843864,-14.88228312
1508,kanel,sinthiane dioude,senegal,-1.34645758960981,33,5,1,non-hh,international,NA,1,16.59843864,-14.88228312
1508,kanel,sinthiane dioude,senegal,-1.34645758960981,33,5,1,non-hh,international,NA,1,16.59843864,-14.88228312
1508,kanel,sinthiane dioude,senegal,-1.34645758960981,33,5,1,non-hh,international,NA,1,16.59843864,-14.88228312
1508,kanel,sinthiane dioude,senegal,-1.34645758960981,33,5,1,non-hh,international,NA,1,16.59843864,-14.88228312
1508,kanel,sinthiane dioude,senegal,-1.34645758960981,33,5,1,non-hh,international,NA,1,16.59843864,-14.88228312
1747,bakel,ndiaye counda,senegal,-1.90457681735586,14,3,1,hh,international,12,1,14.1372415,-15.49080373
1747,bakel,ndiaye counda,senegal,-1.90457681735586,14,3,1,hh,international,12,NA,14.1372415,-15.49080373
1522,kanel,sinthiane dioude,senegal,-1.98916277844878,13,2,1,hh,international,107,1,16.59843864,-14.88228312
1522,kanel,sinthiane dioude,senegal,-1.98916277844878,13,2,1,hh,national,21,1,16.59843864,-14.88228312
1522,kanel,sinthiane dioude,senegal,-1.98916277844878,13,2,1,non-hh,national,NA,1,16.59843864,-14.88228312
1522,kanel,sinthiane dioude,senegal,-1.98916277844878,13,2,1,non-hh,international,NA,1,16.59843864,-14.88228312
1522,kanel,sinthiane dioude,senegal,-1.98916277844878,13,2,1,non-hh,international,NA,1,16.59843864,-14.88228312
1522,kanel,sinthiane dioude,senegal,-1.98916277844878,13,2,1,non-hh,international,NA,1,16.59843864,-14.88228312
1522,kanel,sinthiane dioude,senegal,-1.98916277844878,13,2,1,non-hh,international,NA,1,16.59843864,-14.88228312
1865,podor,yelitare,senegal,-2.05905330056609,14,2,1,hh,international,72,1,NA,NA
1865,podor,yelitare,senegal,-2.05905330056609,14,2,1,hh,international,96,NA,NA,NA
1896,podor,mery,senegal,-1.45158269252145,7,1,1,hh,national,2,NA,16.42777753,-14.09801568
1896,podor,mery,senegal,-1.45158269252145,7,1,1,non-hh,international,NA,1,16.42777753,-14.09801568
1229,diourbel,thierno kandji,senegal,-1.71278922589878,10,1,1,hh,national,24,1,NA,NA
921,bambeye,paye baridian,senegal,-1.75083613499743,13,5,1,hh,national,36,NA,14.71688363,-17.46683875
921,bambeye,paye baridian,senegal,-1.75083613499743,13,5,1,hh,national,180,NA,14.71688363,-17.46683875
921,bambeye,paye baridian,senegal,-1.75083613499743,13,5,1,hh,national,108,NA,14.71688363,-17.46683875
921,bambeye,paye baridian,senegal,-1.75083613499743,13,5,1,hh,international,96,1,14.71688363,-17.46683875
921,bambeye,paye baridian,senegal,-1.75083613499743,13,5,1,hh,international,24,1,14.71688363,-17.46683875
1776,kolda,doumanssou,senegal,-1.11473712000969,13,1,1,hh,national,48,1,NA,NA
1776,kolda,doumanssou,senegal,-1.11473712000969,13,1,1,non-hh,international,NA,1,NA,NA
1772,kolda,damassou,senegal,-1.98796774537222,9,0,NA,NA,NA,NA,NA,NA,NA
1643,nioro,keur amath drame,senegal,-2.420559705769,24,4,1,hh,international,24,1,13.78607662,-15.79470889
1643,nioro,keur amath drame,senegal,-2.420559705769,24,4,1,hh,national,60,1,13.78607662,-15.79470889
1643,nioro,keur amath drame,senegal,-2.420559705769,24,4,1,hh,national,48,1,13.78607662,-15.79470889
1643,nioro,keur amath drame,senegal,-2.420559705769,24,4,1,hh,national,36,NA,13.78607662,-15.79470889
1590,kanel,sorry,senegal,-3.45906424442952,6,0,NA,NA,NA,NA,NA,NA,NA
1880,podor,dodele,senegal,-1.40742305844117,4,3,1,hh,national,156,1,16.50354464,-14.42019001
1880,podor,dodele,senegal,-1.40742305844117,4,3,1,hh,national,36,NA,16.50354464,-14.42019001
1880,podor,dodele,senegal,-1.40742305844117,4,3,1,hh,national,84,NA,16.50354464,-14.42019001
1880,podor,dodele,senegal,-1.40742305844117,4,3,1,non-hh,international,NA,1,16.50354464,-14.42019001
939,kebemer,medina,senegal,-2.55367291637621,12,2,1,hh,international,36,1,NA,NA
939,kebemer,medina,senegal,-2.55367291637621,12,2,1,hh,national,24,1,NA,NA
1029,louga,montagne,senegal,-1.7698183583087,10,1,1,hh,international,120,1,NA,NA
832,diourbel,medinatoul,senegal,-0.258797686676105,7,1,1,hh,national,60,1,NA,NA
2,dakar,grand medine,senegal,-0.49010264044386,5,1,1,hh,international,96,1,14.74795,-17.44715
1551,matam,mango,senegal,1.19574530999332,2,0,NA,NA,NA,NA,NA,NA,NA
1781,kolda,doumassou,senegal,0.874811596474885,5,1,1,hh,international,24,1,NA,NA
731,gossas,keur el hadji,senegal,-0.0938905115838952,3,1,1,hh,international,24,1,NA,NA
731,gossas,keur el hadji,senegal,-0.0938905115838952,3,1,1,non-hh,national,NA,1,NA,NA
1782,kolda,doumanssou,senegal,1.33072991037169,8,1,1,hh,international,96,1,NA,NA
1387,matam,boinadji roumbe,senegal,0.619748596985106,8,0,1,non-hh,international,NA,1,NA,NA
350,thies,mbour i,senegal,1.78508331330359,10,1,NA,hh,national,48,NA,NA,NA
1141,kaolack,thiakho djigane,senegal,-2.27400761729345,14,1,1,hh,national,68,1,13.99933823,-16.17799307
1890,st-louis,dodele,senegal,0.736232800513952,5,3,1,hh,national,48,NA,16.50354464,-14.42019001
1890,st-louis,dodele,senegal,0.736232800513952,5,3,1,hh,international,84,1,16.50354464,-14.42019001
1890,st-louis,dodele,senegal,0.736232800513952,5,3,1,hh,international,6,NA,16.50354464,-14.42019001
415,guediawaye,cite des enseignants,senegal,1.41099255307871,6,1,1,hh,international,108,1,14.77683245,-17.40519022
819,foundiougne,passy,senegal,-0.13295188544698,10,4,1,hh,national,10,1,NA,NA
819,foundiougne,passy,senegal,-0.13295188544698,10,4,1,hh,national,48,1,NA,NA
819,foundiougne,passy,senegal,-0.13295188544698,10,4,1,hh,national,12,NA,NA,NA
819,foundiougne,passy,senegal,-0.13295188544698,10,4,1,hh,national,84,1,NA,NA
819,foundiougne,passy,senegal,-0.13295188544698,10,4,1,non-hh,international,NA,1,NA,NA
1777,kolda,doumansou,senegal,0.197701741498011,8,1,NA,hh,national,60,NA,NA,NA
1554,matam,mango,senegal,0.271464349318792,2,0,NA,NA,NA,NA,NA,NA,NA
1742,bakel,ndiaye counda,senegal,-0.0263347783050982,19,1,1,hh,national,56,1,14.1372415,-15.49080373
152,thies,hersent,senegal,0.680671257260141,5,1,1,hh,national,36,1,NA,NA
1860,podor,fanaye,senegal,-0.945163096017145,13,6,1,hh,national,84,NA,NA,NA
1860,podor,fanaye,senegal,-0.945163096017145,13,6,1,hh,national,240,NA,NA,NA
1860,podor,fanaye,senegal,-0.945163096017145,13,6,1,hh,national,60,NA,NA,NA
1860,podor,fanaye,senegal,-0.945163096017145,13,6,1,hh,national,120,1,NA,NA
1860,podor,fanaye,senegal,-0.945163096017145,13,6,1,hh,national,120,NA,NA,NA
1860,podor,fanaye,senegal,-0.945163096017145,13,6,1,hh,national,84,NA,NA,NA
21,dakar,grand medine,senegal,-1.617198946902,10,0,NA,NA,NA,NA,NA,14.74795,-17.44715
1435,matam,thiambe,senegal,-0.688034614667447,14,2,1,hh,national,12,1,15.63263924,-13.3254062
1435,matam,thiambe,senegal,-0.688034614667447,14,2,1,hh,national,8,1,15.63263924,-13.3254062
145,thies,hersent,senegal,0.00575747479885204,2,0,NA,NA,NA,NA,NA,NA,NA
1312,mbacke,darou khoudouss,senegal,1.1650634875751,12,3,1,hh,national,24,1,14.8653417,-15.87905597
1312,mbacke,darou khoudouss,senegal,1.1650634875751,12,3,1,hh,national,60,1,14.8653417,-15.87905597
1312,mbacke,darou khoudouss,senegal,1.1650634875751,12,3,1,hh,national,8,NA,14.8653417,-15.87905597
143,thies,hersent,senegal,1.40838604605758,5,0,NA,NA,NA,NA,NA,NA,NA
1739,bakel,moudery,senegal,-0.101772167257113,32,1,NA,hh,national,120,NA,15.06745915,-12.5787737
441,dakar,arafat,senegal,0.707994674194319,6,0,NA,NA,NA,NA,NA,14.71105977,-17.4688686
725,gossas,keur el hadj,senegal,0.557689664190603,10,1,1,hh,national,60,1,NA,NA
153,thies,hersent,senegal,0.412665568489378,20,1,1,hh,national,24,1,NA,NA
854,diourbel,medinatoul nord,senegal,1.92524498939435,9,1,1,hh,national,24,1,NA,NA
854,diourbel,medinatoul nord,senegal,1.92524498939435,9,1,1,non-hh,national,NA,1,NA,NA
927,kebemer,medina,senegal,1.93301060296294,7,0,1,non-hh,international,NA,1,NA,NA
927,kebemer,medina,senegal,1.93301060296294,7,0,1,non-hh,international,NA,1,NA,NA
823,foundiougne,passy leona,senegal,1.94595329224392,5,3,1,hh,national,84,NA,NA,NA
823,foundiougne,passy leona,senegal,1.94595329224392,5,3,1,hh,international,120,1,NA,NA
823,foundiougne,passy leona,senegal,1.94595329224392,5,3,1,hh,national,24,1,NA,NA
1704,ziguinchor,diefaye,senegal,2.22679892856043,3,0,NA,NA,NA,NA,NA,NA,NA
466,guediawaye,hlm las palmas,senegal,1.42116140507264,8,0,NA,NA,NA,NA,NA,14.77009217,-17.40633211
78,pikine,cite la rochette,senegal,-0.618415799750727,3,0,NA,NA,NA,NA,NA,14.75619,-17.36858
941,kebemer,medina,senegal,1.40468813483445,6,1,1,hh,international,120,1,NA,NA
627,rufisque,niagha ouolof,senegal,1.30609570455045,7,1,NA,hh,national,120,NA,14.80539524,-17.23892342
1774,kolda,doumanssou,senegal,-0.720517090909232,19,1,1,hh,national,84,1,NA,NA
1444,matam,thiambe,senegal,1.39652719925141,10,3,1,hh,international,240,1,15.63263924,-13.3254062
1444,matam,thiambe,senegal,1.39652719925141,10,3,1,hh,international,36,1,15.63263924,-13.3254062
1444,matam,thiambe,senegal,1.39652719925141,10,3,1,hh,national,48,1,15.63263924,-13.3254062
954,louga,ndianguene ndiagne,senegal,1.34367259965267,5,1,1,hh,national,60,1,NA,NA
726,gossas,keur el hadji,senegal,-0.0707097129827541,6,2,1,hh,national,12,1,NA,NA
18,dakar,grand medine,senegal,0.667901027669024,5,1,NA,NA,NA,NA,NA,14.74795,-17.44715
1001,louga,artillerie,senegal,1.49767988101554,7,1,1,hh,international,96,1,NA,NA
344,thies,mbour i,senegal,1.55980478956426,7,1,1,hh,international,48,1,NA,NA
344,thies,mbour i,senegal,1.55980478956426,7,1,1,non-hh,national,NA,1,NA,NA
348,thies,mbour i,senegal,1.55980478956426,2,1,1,hh,national,11,1,NA,NA
991,louga,artillerie,senegal,1.27895915324775,10,0,NA,NA,NA,NA,NA,NA,NA
1771,kolda,doumansou,senegal,1.38250066749562,8,0,NA,NA,NA,NA,NA,NA,NA
1981,podor,dodele,senegal,-0.226021984354549,20,3,1,hh,international,396,1,16.50354464,-14.42019001
1981,podor,dodele,senegal,-0.226021984354549,20,3,1,hh,international,312,1,16.50354464,-14.42019001
1981,podor,dodele,senegal,-0.226021984354549,20,3,1,hh,international,48,1,16.50354464,-14.42019001
251,dakar,gueule tapee,senegal,0.860899568391183,11,0,NA,NA,NA,NA,NA,14.68287,-17.45728
809,foundiougne,passy leona,senegal,2.12715094217768,2,1,1,hh,national,72,1,NA,NA
809,foundiougne,passy leona,senegal,2.12715094217768,2,1,1,non-hh,national,NA,1,NA,NA
736,gossas,keur el hadji,senegal,2.01843235221743,6,2,1,hh,international,36,1,NA,NA
736,gossas,keur el hadji,senegal,2.01843235221743,6,2,1,hh,national,120,NA,NA,NA
1364,matam,guidjilogne lodiou,senegal,0.720534243110851,11,3,1,hh,international,120,1,15.9373344,-13.35219736
1364,matam,guidjilogne lodiou,senegal,0.720534243110851,11,3,1,hh,international,12,1,15.9373344,-13.35219736
1364,matam,guidjilogne lodiou,senegal,0.720534243110851,11,3,1,hh,international,36,NA,15.9373344,-13.35219736
940,kebemer,medina,senegal,1.35143821322126,6,1,NA,hh,national,24,NA,NA,NA
44,dakar,mermoz ambassade,senegal,2.45589919373176,6,0,NA,NA,NA,NA,NA,14.68949,-17.47308
