house,country,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,census_tract,lat,long,district
1,south_africa,-3.484753242393622,1,0,NA,NA,NA,NA,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
2,south_africa,-0.304825260432498,5,0,NA,NA,NA,NA,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
3,south_africa,-1.1474315617537403,1,0,NA,NA,NA,NA,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
4,south_africa,-0.16671592898222004,7,0,NA,NA,NA,NA,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
5,south_africa,-0.49413741961808033,4,0,NA,NA,NA,NA,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
6,south_africa,-1.7848128510806058,5,0,NA,NA,NA,NA,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
7,south_africa,-0.304825260432498,4,0,NA,NA,NA,NA,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
8,south_africa,-0.304825260432498,3,0,NA,NA,NA,NA,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
9,south_africa,-1.007534093554986,2,0,NA,NA,NA,NA,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
10,south_africa,0.8934689034603054,1,0,NA,NA,NA,NA,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
11,south_africa,-0.304825260432498,6,0,NA,NA,NA,NA,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
12,south_africa,-0.9933143889710999,6,0,NA,NA,NA,NA,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
13,south_africa,1.3784950403262703,6,0,NA,NA,NA,NA,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
14,south_africa,-1.8753559302421887,2,0,NA,NA,NA,NA,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
15,south_africa,-2.6410859912636933,3,0,NA,NA,NA,NA,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
16,south_africa,-2.9997252691279033,1,2,NA,hh,international,NA,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
16,south_africa,-2.9997252691279033,1,2,NA,hh,international,NA,NA,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality
