,house,date,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,NDVI_lat,NDVI_lon,sev_lat,sev_lon,pop_cent_lat,pop_cent_long,annual_frequency,severity,autocorrelation,avg_area,NDVI_mean,SVI_severity
0,1,2/22/2010,kampala,busabala road d,uganda,2,1,3.001766076,0.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
1,2,2/22/2010,kampala,busabala road d,uganda,1,0,3.204158285,,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
2,3,2/22/2010,kampala,busabala road d,uganda,3,2,3.267929571,1.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
3,4,2/22/2010,kampala,busabala road d,uganda,3,1,3.880181089,1.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
4,5,2/22/2010,kampala,busabala road d,uganda,1,1,2.697788511,1.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
5,6,2/22/2010,kampala,busabala road d,uganda,1,1,3.161241913,0.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
6,7,2/22/2010,kampala,busabala road d,uganda,2,0,2.817889604,,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
7,8,2/22/2010,kampala,busabala road d,uganda,3,0,2.83542528,,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
8,9,2/22/2010,kampala,busabala road d,uganda,2,1,4.191692264,0.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
9,10,2/22/2010,kampala,busabala road d,uganda,2,1,3.161241913,0.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
10,11,2/19/2010,kampala,ssebalijja zone b,uganda,3,2,3.584183526,0.0,0.31136,32.56829,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.59039133,1.9,-0.4232904032657021,0.004676915059927076,409208783.8602349,0.2390965558626717,-0.4604492631302055
11,12,2/19/2010,kampala,ssebalijja zone b,uganda,4,0,3.132630998,,0.31136,32.56829,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.59039133,1.9,-0.4232904032657021,0.004676915059927076,409208783.8602349,0.2390965558626717,-0.4604492631302055
12,13,2/19/2010,kampala,ssebalijja zone b,uganda,2,1,2.611955767,0.0,0.31136,32.56829,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.59039133,1.9,-0.4232904032657021,0.004676915059927076,409208783.8602349,0.2390965558626717,-0.4604492631302055
13,14,2/19/2010,kampala,ssebalijja zone b,uganda,2,1,3.613795203,0.0,0.31136,32.56829,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.59039133,1.9,-0.4232904032657021,0.004676915059927076,409208783.8602349,0.2390965558626717,-0.4604492631302055
14,15,2/19/2010,kampala,ssebalijja zone b,uganda,5,0,3.433976224,,0.31136,32.56829,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.59039133,1.9,-0.4232904032657021,0.004676915059927076,409208783.8602349,0.2390965558626717,-0.4604492631302055
15,17,2/19/2010,kampala,ssebalijja zone b,uganda,3,4,3.837264717,0.0,0.31136,32.56829,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.59039133,1.9,-0.4232904032657021,0.004676915059927076,409208783.8602349,0.2390965558626717,-0.4604492631302055
16,18,2/19/2010,kampala,ssebalijja zone b,uganda,4,2,3.579891889,0.0,0.31136,32.56829,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.59039133,1.9,-0.4232904032657021,0.004676915059927076,409208783.8602349,0.2390965558626717,-0.4604492631302055
17,19,2/19/2010,kampala,ssebalijja zone b,uganda,4,1,3.075409169,0.0,0.31136,32.56829,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.59039133,1.9,-0.4232904032657021,0.004676915059927076,409208783.8602349,0.2390965558626717,-0.4604492631302055
18,20,1/19/2010,kampala,ssebalijja zone b,uganda,2,5,2.89528581,1.0,0.31136,32.56829,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.59039133,1.9,-0.4232904032657021,0.004676915059927076,409208783.8602349,0.2390965558626717,-0.4604492631302055
19,21,2/18/2010,kampala,kizungu zone a,uganda,5,0,1.247404026,1.0,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
20,22,2/15/2010,kampala,kizungu zone a,uganda,2,1,3.908792003,0.0,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
21,23,2/18/2010,kampala,kizungu zone a,uganda,15,1,2.714656166,1.0,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
22,24,2/18/2010,kampala,kizungu zone a,uganda,4,1,2.434387135,0.0,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.7,-0.4196157455444336,0.03642204454597373,440799051.74221516,0.2524916731660312,-0.07094924600163688
