,house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,pop_cent_lat,pop_cent_long,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
0,1,nairobi,buruburu phase 1,kenya,2009-10-24,4,0,-2.29570865273186,,-1.278857181,36.87752154,-1.3,36.9,-1.277989674,36.87765922,-1.7014724731445312,-1.8629775047302246,2.4,0.6,-4.066174101829529,-0.2666666666666667,410696053.264371,0.1830450454952759,-1.7581059277117426
1,2,nairobi,buruburu phase 1,kenya,2009-10-24,2,2,-1.8975078851688376,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.277989674,36.87765922,-1.7014724731445312,-1.8629775047302246,2.4,0.6,-4.066174101829529,-0.2666666666666667,410696053.264371,0.1830450454952759,-1.7581059277117426
2,3,nairobi,buruburu phase 1,kenya,2009-10-24,4,0,-2.811978855865572,,-1.278857181,36.87752154,-1.3,36.9,-1.277989674,36.87765922,-1.7014724731445312,-1.8629775047302246,2.4,0.6,-4.066174101829529,-0.2666666666666667,410696053.264371,0.1830450454952759,-1.7581059277117426
3,4,nairobi,buruburu phase 1,kenya,2009-10-24,2,2,-3.008395713809652,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.277989674,36.87765922,-1.7014724731445312,-1.8629775047302246,2.4,0.6,-4.066174101829529,-0.2666666666666667,410696053.264371,0.1830450454952759,-1.7581059277117426
4,5,nairobi,buruburu phase 1,kenya,2009-10-24,4,2,-3.320279494146605,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.277989674,36.87765922,-1.7014724731445312,-1.8629775047302246,2.4,0.6,-4.066174101829529,-0.2666666666666667,410696053.264371,0.1830450454952759,-1.7581059277117426
5,6,nairobi,buruburu phase 1,kenya,2009-10-24,4,1,-1.6276999870557454,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.277989674,36.87765922,-1.7014724731445312,-1.8629775047302246,2.4,0.6,-4.066174101829529,-0.2666666666666667,410696053.264371,0.1830450454952759,-1.7581059277117426
6,7,nairobi,buruburu phase 1,kenya,2009-10-24,4,1,-2.492088918141854,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.277989674,36.87765922,-1.7014724731445312,-1.8629775047302246,2.4,0.6,-4.066174101829529,-0.2666666666666667,410696053.264371,0.1830450454952759,-1.7581059277117426
7,8,nairobi,buruburu phase 1,kenya,2009-10-24,6,3,-2.750431672418403,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.277989674,36.87765922,-1.7014724731445312,-1.8629775047302246,2.4,0.6,-4.066174101829529,-0.2666666666666667,410696053.264371,0.1830450454952759,-1.7581059277117426
8,9,nairobi,buruburu phase 1,kenya,2009-10-24,5,1,-2.564597876231965,0.0,-1.278857181,36.87752154,-1.3,36.9,-1.277989674,36.87765922,-1.7014724731445312,-1.8629775047302246,2.4,0.6,-4.066174101829529,-0.2666666666666667,410696053.264371,0.1830450454952759,-1.7581059277117426
9,10,nairobi,buruburu phase 1,kenya,2009-10-24,5,0,-2.6755660905126457,,-1.278857181,36.87752154,-1.3,36.9,-1.277989674,36.87765922,-1.7014724731445312,-1.8629775047302246,2.4,0.6,-4.066174101829529,-0.2666666666666667,410696053.264371,0.1830450454952759,-1.7581059277117426
10,11,nairobi,buruburu phase 1,kenya,2009-10-24,5,0,-3.5033945815462357,,-1.278857181,36.87752154,-1.3,36.9,-1.277989674,36.87765922,-1.7014724731445312,-1.8629775047302246,2.4,0.6,-4.066174101829529,-0.2666666666666667,410696053.264371,0.1830450454952759,-1.7581059277117426
11,12,nairobi,buruburu phase 1,kenya,2009-11-02,7,2,-2.4888793251491834,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.277989674,36.87765922,-1.7014724731445312,-1.8629775047302246,2.4,0.6,-4.066174101829529,-0.2666666666666667,410696053.264371,0.1830450454952759,-1.7581059277117426
12,13,nairobi,buruburu phase 1,kenya,2009-11-03,6,1,-3.724496146188941,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.277989674,36.87765922,-1.7014724731445312,-1.8629775047302246,2.4,0.6,-4.066174101829529,-0.2666666666666667,410696053.264371,0.1830450454952759,-1.7581059277117426
13,14,nairobi,buruburu phase 1,kenya,2009-11-03,5,2,-3.3868472189081262,0.0,-1.278857181,36.87752154,-1.3,36.9,-1.277989674,36.87765922,-1.7014724731445312,-1.8629775047302246,2.4,0.6,-4.066174101829529,-0.2666666666666667,410696053.264371,0.1830450454952759,-1.7581059277117426
14,15,nairobi,buruburu phase 1,kenya,2009-11-03,2,0,-2.3497399559383974,,-1.278857181,36.87752154,-1.3,36.9,-1.277989674,36.87765922,-1.7014724731445312,-1.8629775047302246,2.4,0.6,-4.066174101829529,-0.2666666666666667,410696053.264371,0.1830450454952759,-1.7581059277117426
15,16,nairobi,buruburu phase 1,kenya,2009-11-02,4,2,-2.405191567277471,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.277989674,36.87765922,-1.7014724731445312,-1.8629775047302246,2.4,0.6,-4.066174101829529,-0.2666666666666667,410696053.264371,0.1830450454952759,-1.7581059277117426
16,17,nairobi,buruburu phase 1,kenya,2009-11-07,4,0,0.369446825272993,,-1.278857181,36.87752154,-1.3,36.9,-1.277989674,36.87765922,-1.7014724731445312,-1.8629775047302246,2.4,0.6,-4.066174101829529,-0.2666666666666667,410696053.264371,0.1830450454952759,-1.7581059277117426
17,18,kiambu,mbwa kali,kenya,2009-11-08,1,3,-0.1999338740585709,0.0,-1.170804963,36.83215946,-1.15,36.85,-1.171483094,36.83482913,-1.633061597744624,-1.718533327182134,1.75,0.8,-2.9661551813284555,-0.30000000000000016,376644800.3803185,0.22347727319012495,-0.7211317258325957
18,19,kiambu,sigona/nyathuwa,kenya,2009-11-08,4,2,1.2689531630876951,1.0,-1.213613261,36.66018801,-1.2,36.65,-1.215067728,36.66130178,-1.6411496315683638,-1.75093298298972,1.9285714285714286,0.8,-3.2457552552223206,-0.55,345998914.1670463,0.23252354992071878,-0.1864552040080989
19,20,kiambu,sigona/nyathuwa,kenya,2009-11-08,1,2,-0.8971962115788565,0.0,-1.213613261,36.66018801,-1.2,36.65,-1.215067728,36.66130178,-1.6411496315683638,-1.75093298298972,1.9285714285714286,0.8,-3.2457552552223206,-0.55,345998914.1670463,0.23252354992071878,-0.1864552040080989
20,21,kiambu,mbwa kali,kenya,2009-11-08,5,0,0.0457334752267348,,-1.170804963,36.83215946,-1.15,36.85,-1.171483094,36.83482913,-1.633061597744624,-1.718533327182134,1.75,0.8,-2.9661551813284555,-0.30000000000000016,376644800.3803185,0.22347727319012495,-0.7211317258325957
21,22,kiambu,mbwa kali,kenya,2009-11-07,3,0,1.459239705857913,,-1.170804963,36.83215946,-1.15,36.85,-1.171483094,36.83482913,-1.633061597744624,-1.718533327182134,1.75,0.8,-2.9661551813284555,-0.30000000000000016,376644800.3803185,0.22347727319012495,-0.7211317258325957
22,23,kiambu,guthunguri,kenya,2009-11-08,2,2,-1.8975078851688376,1.0,-1.058419348,36.77391802,-1.05,36.75,-1.055519874,36.78326626,-1.671267296586718,-1.757854802267892,1.9285714285714286,0.8,-3.2644424183028087,-0.55,366808237.5443277,0.23959437298754058,0.45239452761219023
23,24,kiambu,mbwa kali,kenya,2009-11-06,7,1,-3.0774777747749487,1.0,-1.170804963,36.83215946,-1.15,36.85,-1.171483094,36.83482913,-1.633061597744624,-1.718533327182134,1.75,0.8,-2.9661551813284555,-0.30000000000000016,376644800.3803185,0.22347727319012495,-0.7211317258325957
