,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,pop_cent_lat,pop_cent_long,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
0,1,akwa ibom,abat,nigeria,4,0,1.838654293495596,,4.61631,7.86679,4.6,7.85,4.65075719,7.86968321,-0.9173485239346822,-0.9706095854441324,2.0,0.3,-1.8685392538706462,-0.30000000000000004,181461330.22817227,0.1881532717351111,-1.679647566655104
1,2,akwa ibom,abat,nigeria,8,0,1.095312227737208,,4.61631,7.86679,4.6,7.85,4.65075719,7.86968321,-0.9173485239346822,-0.9706095854441324,2.0,0.3,-1.8685392538706462,-0.30000000000000004,181461330.22817227,0.1881532717351111,-1.679647566655104
2,3,akwa ibom,abat,nigeria,7,0,1.1065853863248822,,4.61631,7.86679,4.6,7.85,4.65075719,7.86968321,-0.9173485239346822,-0.9706095854441324,2.0,0.3,-1.8685392538706462,-0.30000000000000004,181461330.22817227,0.1881532717351111,-1.679647566655104
3,4,akwa ibom,abat,nigeria,4,0,1.3078430573145745,,4.61631,7.86679,4.6,7.85,4.65075719,7.86968321,-0.9173485239346822,-0.9706095854441324,2.0,0.3,-1.8685392538706462,-0.30000000000000004,181461330.22817227,0.1881532717351111,-1.679647566655104
4,5,akwa ibom,abat,nigeria,3,0,1.2454556329906392,,4.61631,7.86679,4.6,7.85,4.65075719,7.86968321,-0.9173485239346822,-0.9706095854441324,2.0,0.3,-1.8685392538706462,-0.30000000000000004,181461330.22817227,0.1881532717351111,-1.679647566655104
5,6,akwa ibom,abat,nigeria,5,1,1.714814924946738,1.0,4.61631,7.86679,4.6,7.85,4.65075719,7.86968321,-0.9173485239346822,-0.9706095854441324,2.0,0.3,-1.8685392538706462,-0.30000000000000004,181461330.22817227,0.1881532717351111,-1.679647566655104
6,7,akwa ibom,abat,nigeria,7,2,1.0276732762111631,1.0,4.61631,7.86679,4.6,7.85,4.65075719,7.86968321,-0.9173485239346822,-0.9706095854441324,2.0,0.3,-1.8685392538706462,-0.30000000000000004,181461330.22817227,0.1881532717351111,-1.679647566655104
7,8,akwa ibom,abat,nigeria,6,1,1.1404048620879048,1.0,4.61631,7.86679,4.6,7.85,4.65075719,7.86968321,-0.9173485239346822,-0.9706095854441324,2.0,0.3,-1.8685392538706462,-0.30000000000000004,181461330.22817227,0.1881532717351111,-1.679647566655104
8,9,akwa ibom,abat,nigeria,4,1,1.1404048620879048,1.0,4.61631,7.86679,4.6,7.85,4.65075719,7.86968321,-0.9173485239346822,-0.9706095854441324,2.0,0.3,-1.8685392538706462,-0.30000000000000004,181461330.22817227,0.1881532717351111,-1.679647566655104
9,10,akwa ibom,abat,nigeria,5,1,1.110343105854107,0.0,4.61631,7.86679,4.6,7.85,4.65075719,7.86968321,-0.9173485239346822,-0.9706095854441324,2.0,0.3,-1.8685392538706462,-0.30000000000000004,181461330.22817227,0.1881532717351111,-1.679647566655104
