,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
0,1,akwa ibom,abat,nigeria,4,0,1.838654293495596,,4.61631,7.86679,4.6,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20229140891934558,0.0
1,2,akwa ibom,abat,nigeria,8,0,1.095312227737208,,4.61631,7.86679,4.6,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20229140891934558,0.0
2,3,akwa ibom,abat,nigeria,7,0,1.1065853863248822,,4.61631,7.86679,4.6,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20229140891934558,0.0
3,4,akwa ibom,abat,nigeria,4,0,1.3078430573145745,,4.61631,7.86679,4.6,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20229140891934558,0.0
4,5,akwa ibom,abat,nigeria,3,0,1.2454556329906392,,4.61631,7.86679,4.6,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20229140891934558,0.0
5,6,akwa ibom,abat,nigeria,5,1,1.714814924946738,1.0,4.61631,7.86679,4.6,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20229140891934558,0.0
6,7,akwa ibom,abat,nigeria,7,2,1.0276732762111631,1.0,4.61631,7.86679,4.6,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20229140891934558,0.0
7,8,akwa ibom,abat,nigeria,6,1,1.1404048620879048,1.0,4.61631,7.86679,4.6,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20229140891934558,0.0
8,9,akwa ibom,abat,nigeria,4,1,1.1404048620879048,1.0,4.61631,7.86679,4.6,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20229140891934558,0.0
9,10,akwa ibom,abat,nigeria,5,1,1.110343105854107,0.0,4.61631,7.86679,4.6,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20229140891934558,0.0
10,11,akwa ibom,abat,nigeria,5,1,-1.215386748,1.0,4.61631,7.86679,4.6,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20229140891934558,0.0
11,12,akwa ibom,abat,nigeria,7,1,1.6922686077713895,0.0,4.61631,7.86679,4.6,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20229140891934558,0.0
12,13,akwa ibom,abat,nigeria,5,3,1.6944919194682004,1.0,4.61631,7.86679,4.6,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20229140891934558,0.0
13,14,akwa ibom,abat,nigeria,7,1,1.6922686077713895,1.0,4.61631,7.86679,4.6,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20229140891934558,0.0
14,15,akwa ibom,abat,nigeria,5,1,1.8529115878247309,0.0,4.61631,7.86679,4.6,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20229140891934558,0.0
