,house,department,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,NDVI_lat,NDVI_lon,sev_lat,sev_lon,pop_cent_lat,pop_cent_long,annual_frequency,severity,autocorrelation,avg_area,NDVI_mean,SVI_severity
0,1171,nioro,sonkorong,senegal,7,2,-1.51786772793973,1.0,13.76929622,-15.58749555,13.75,-15.6,13.75,-15.6,13.75,-15.6,13.7751637,-15.63622426,0.4,-0.5855112671852112,-0.03534482758620686,41215931.6068158,0.22515348857144918,-0.05423410863196265
1,384,mbour,thiarene h2,senegal,7,0,-3.10019005523989,,15.7668346,-13.47659022,15.75,-13.5,15.75,-13.5,15.75,-13.5,15.71702669,-13.36263999,0.6,-0.18122583627700806,0.12149122807017544,94296574.79564624,0.16361199336775142,0.029226887072468816
2,1727,bignona,hilole,senegal,7,1,-1.72774817956823,0.0,12.85643014,-16.67789504,12.85,-16.7,12.85,-16.7,12.85,-16.7,12.89534328,-16.73379647,0.0,0.0,,0.0,0.1836800952390377,0.0
3,1402,matam,boinadji roumde,senegal,12,2,-2.43723877919777,1.0,15.66051954,-13.35041654,15.65,-13.35,15.65,-13.35,15.65,-13.35,15.6680352,-13.36263999,0.7,-0.14790243761880056,0.23991782553729457,80953658.92667678,0.15693920723085014,0.2059165959961692
4,1514,kanel,gouriki samba diane,senegal,10,2,-3.19728626974746,1.0,15.43742604,-12.95155738,15.45,-12.95,15.45,-12.95,15.45,-12.95,15.38130032,-13.36263999,0.6,-0.14698694149653116,0.2969298245614035,95108664.95859186,0.15177328087815717,0.2392251845305152
5,1750,bakel,moudery,senegal,7,2,0.0466176831696105,0.0,15.06745915,-12.5787737,15.05,-12.6,15.05,-12.6,15.05,-12.6,15.03429087,-12.41480008,0.9,-0.1969768073823717,0.037012012012012034,86498021.07576683,0.176917545703906,0.6107502194138861
6,1508,kanel,sinthiane dioude,senegal,33,5,-1.34645758960981,1.0,16.59843864,-14.88228312,16.6,-14.9,16.6,-14.9,16.6,-14.9,16.47147469,-14.92254071,0.0,0.0,,0.0,0.14750508168517368,0.0
7,1747,bakel,ndiaye counda,senegal,14,3,-1.90457681735586,1.0,14.1372415,-15.49080373,14.15,-15.5,14.15,-15.5,14.15,-15.5,14.13637726,-15.5307987,0.4,-0.4389539957046509,-0.03534482758620686,25081559.746495873,0.21927945614581468,0.9395668828559552
8,1522,kanel,sinthiane dioude,senegal,13,2,-1.98916277844878,1.0,16.59843864,-14.88228312,16.6,-14.9,16.6,-14.9,16.6,-14.9,16.47147469,-14.92254071,0.0,0.0,,0.0,0.14750508168517368,0.0
9,1865,podor,yelitare,senegal,14,2,-2.05905330056609,1.0,16.52936484,-15.20234492,16.55,-15.2,16.55,-15.2,16.55,-15.2,16.47147469,-15.27583107,0.4,-0.2147802710533142,-0.035344827586206884,126421341.63802917,0.1519244026348125,0.4682608380628548
10,1896,podor,mery,senegal,7,1,-1.45158269252145,1.0,16.42777753,-14.09801568,16.45,-14.1,16.45,-14.1,16.45,-14.1,16.42033799,-14.01712506,0.7,-0.23870919431958879,-0.06349557522123894,104756528.70799151,0.14370735024395268,-0.259929199641225
11,1229,diourbel,thierno kandji,senegal,10,1,-1.71278922589878,1.0,14.6563661,-16.23464222,14.65,-16.25,14.65,-16.25,14.65,-16.25,14.66195934,-16.23192106,0.4,-0.20791661739349365,-0.03534482758620686,24261947.253483657,0.2020724582978132,0.7048370557560011
12,921,bambeye,paye baridian,senegal,13,5,-1.75083613499743,1.0,14.71688363,-17.46683875,14.7,-17.45,14.75,-17.399999999999977,14.7,-17.45,14.72094534,-17.45998489,0.0,0.0,,0.0,0.10321838162254962,0.0
13,1776,kolda,doumanssou,senegal,13,1,-1.11473712000969,1.0,12.90032016,-14.9476098,12.9,-14.95,12.9,-14.95,12.9,-14.95,12.89534328,-14.93936134,0.8,-0.37382660806179047,0.06071428571428573,184438168.64096227,0.27956909133841346,0.797965911158529
14,1772,kolda,damassou,senegal,9,0,-1.98796774537222,,12.90032016,-14.9476098,12.9,-14.95,12.9,-14.95,12.9,-14.95,12.89534328,-14.93936134,0.8,-0.37382660806179047,0.06071428571428573,184438168.64096227,0.27956909133841346,0.797965911158529
15,1643,nioro,keur amath drame,senegal,24,4,-2.420559705769,1.0,13.78607662,-15.79470889,13.8,-15.8,13.8,-15.8,13.8,-15.8,13.7751637,-15.78133054,0.4,-0.4556392729282379,-0.03534482758620686,41215931.6068158,0.22199529432718468,-0.17337933894995927
16,1590,kanel,sorry,senegal,6,0,-3.45906424442952,,15.20066949,-12.94539215,15.2,-12.95,15.2,-12.95,15.2,-12.95,15.23872587,-13.36263999,0.5,-0.15272347927093505,0.1641304347826087,49874278.25620592,0.17877710596932592,0.26275636690496407
17,1880,podor,dodele,senegal,4,3,-1.40742305844117,1.0,16.50354464,-14.42019001,16.5,-14.4,16.5,-14.4,16.5,-14.4,16.47147469,-14.56250057,0.6,-0.24459272623062134,-0.05394736842105261,121790383.67420365,0.140562526178416,0.23738002130827204
18,939,kebemer,medina,senegal,12,2,-2.55367291637621,1.0,,,,,,,,,14.72402296,-17.45998489,,,,,,
19,1029,louga,montagne,senegal,10,1,-1.7698183583087,1.0,15.62330287,-16.21748196,15.6,-16.2,15.6,-16.2,15.6,-16.2,15.6680352,-16.23192106,0.6,-0.18473970890045166,-0.053947368421052584,28501873.80910297,0.18516915293423822,0.6930208693362528
20,832,diourbel,medinatoul,senegal,7,1,-0.258797686676105,1.0,14.73727345,-16.24237956,14.75,-16.25,14.75,-16.25,14.75,-16.25,14.74391863,-16.24558632,0.6,-0.10762508710225423,-0.05394736842105261,31176687.815020725,0.20483748686068534,0.5399579170663624
21,2,dakar,grand medine,senegal,5,1,-0.49010264044386,1.0,14.74795,-17.44715,14.75,-17.45,15.599999999999994,-16.599999999999966,14.75,-17.45,14.74391863,-17.45998489,0.0,0.0,,0.0,0.17322358038168276,0.0
22,1551,matam,mango,senegal,2,0,1.19574530999332,,15.60094582,-13.322622,15.6,-13.3,15.6,-13.3,15.6,-13.3,15.6680352,-13.36263999,0.5,-0.13515400886535645,0.1641304347826087,111836794.61446433,0.15589057205914544,0.05905084681770404
23,1781,kolda,doumassou,senegal,5,1,0.874811596474885,1.0,12.90032016,-14.9476098,12.9,-14.95,12.9,-14.95,12.9,-14.95,12.89534328,-14.93936134,0.8,-0.37382660806179047,0.06071428571428573,184438168.64096227,0.27956909133841346,0.797965911158529
24,731,gossas,keur el hadji,senegal,3,1,-0.0938905115838952,1.0,14.49623916,-16.0640894,14.5,-16.05,14.5,-16.05,14.5,-16.05,14.50274052,-16.09656209,0.3,-0.3640608787536621,-0.026282051282051227,31678417.24061081,0.20945855130433735,1.06774734310703
25,1782,kolda,doumanssou,senegal,8,1,1.33072991037169,1.0,12.90032016,-14.9476098,12.9,-14.95,12.9,-14.95,12.9,-14.95,12.89534328,-14.93936134,0.8,-0.37382660806179047,0.06071428571428573,184438168.64096227,0.27956909133841346,0.797965911158529
26,1387,matam,boinadji roumbe,senegal,8,0,0.619748596985106,1.0,,,,,,,,,14.72402296,-17.45998489,,,,,,
27,350,thies,mbour i,senegal,10,1,1.78508331330359,0.0,14.68562239,-17.45034661,14.7,-17.45,14.75,-17.399999999999977,14.7,-17.45,14.66195934,-17.45998489,0.0,0.0,,0.0,0.10321838162254962,0.0
28,1141,kaolack,thiakho djigane,senegal,14,1,-2.27400761729345,1.0,13.99933823,-16.17799307,14.0,-16.2,14.0,-16.2,14.0,-16.2,13.9836423,-16.18754008,0.2,-0.4148802161216736,-0.017372881355932162,40611737.75569371,0.2223520558437424,0.5999461328221787
29,1890,st-louis,dodele,senegal,5,3,0.736232800513952,1.0,16.50354464,-14.42019001,16.5,-14.4,16.5,-14.4,16.5,-14.4,16.47147469,-14.56250057,0.6,-0.24459272623062134,-0.05394736842105261,121790383.67420365,0.140562526178416,0.23738002130827204
30,415,guediawaye,cite des enseignants,senegal,6,1,1.41099255307871,1.0,14.77683245,-17.40519022,14.8,-17.4,14.75,-17.399999999999977,14.8,-17.4,14.77734506,-17.39599836,0.6,0.0,-0.0451754385964912,141962.16483858545,0.10321838162254962,
31,819,foundiougne,passy,senegal,10,4,-0.13295188544698,1.0,13.98543687,-16.25698786,14.0,-16.25,14.0,-16.25,14.0,-16.25,13.9836423,-16.26717045,0.2,-0.31245875358581543,-0.017372881355932162,40611737.75569371,0.22074768111256893,0.43504136653959846
32,1777,kolda,doumansou,senegal,8,1,0.197701741498011,0.0,12.90032016,-14.9476098,12.9,-14.95,12.9,-14.95,12.9,-14.95,12.89534328,-14.93936134,0.8,-0.37382660806179047,0.06071428571428573,184438168.64096227,0.27956909133841346,0.797965911158529
33,1554,matam,mango,senegal,2,0,0.271464349318792,,15.60094582,-13.322622,15.6,-13.3,15.6,-13.3,15.6,-13.3,15.6680352,-13.36263999,0.5,-0.13515400886535645,0.1641304347826087,111836794.61446433,0.15589057205914544,0.05905084681770404
34,1742,bakel,ndiaye counda,senegal,19,1,-0.0263347783050982,1.0,14.1372415,-15.49080373,14.15,-15.5,14.15,-15.5,14.15,-15.5,14.13637726,-15.5307987,0.4,-0.4389539957046509,-0.03534482758620686,25081559.746495873,0.21927945614581468,0.9395668828559552
35,152,thies,hersent,senegal,5,1,0.680671257260141,1.0,14.77685,-16.90942,14.8,-16.9,14.8,-16.9,14.8,-16.9,14.77734506,-16.92877566,0.5,-0.28866827487945557,-0.04456521739130432,30411210.315294128,0.20378657893280377,0.000522531740953558
36,1860,podor,fanaye,senegal,13,6,-0.945163096017145,1.0,16.52599054,-15.22269493,16.55,-15.2,16.55,-15.2,16.55,-15.2,16.47147469,-15.27583107,0.4,-0.2147802710533142,-0.035344827586206884,126421341.63802917,0.1519244026348125,0.4682608380628548
37,21,dakar,grand medine,senegal,10,0,-1.617198946902,,14.74795,-17.44715,14.75,-17.45,15.599999999999994,-16.599999999999966,14.75,-17.45,14.74391863,-17.45998489,0.0,0.0,,0.0,0.17322358038168276,0.0
38,1435,matam,thiambe,senegal,14,2,-0.688034614667447,1.0,15.63263924,-13.3254062,15.65,-13.35,15.65,-13.35,15.65,-13.35,15.6680352,-13.36263999,0.7,-0.14790243761880056,0.23991782553729457,80953658.92667678,0.15693920723085014,0.2059165959961692
39,145,thies,hersent,senegal,2,0,0.005757474798852,,14.77685,-16.90942,14.8,-16.9,14.8,-16.9,14.8,-16.9,14.77734506,-16.92877566,0.5,-0.28866827487945557,-0.04456521739130432,30411210.315294128,0.20378657893280377,0.000522531740953558
40,1312,mbacke,darou khoudouss,senegal,12,3,1.1650634875751,1.0,14.8653417,-15.87905597,14.85,-15.9,14.85,-15.9,14.85,-15.9,14.85551526,-15.88108409,0.2,-0.0784650444984436,-0.017372881355932165,51273248.72292103,0.19146692691239867,1.3605905971575065
41,143,thies,hersent,senegal,5,0,1.40838604605758,,14.77685,-16.90942,14.8,-16.9,14.8,-16.9,14.8,-16.9,14.77734506,-16.92877566,0.5,-0.28866827487945557,-0.04456521739130432,30411210.315294128,0.20378657893280377,0.000522531740953558
42,1739,bakel,moudery,senegal,32,1,-0.101772167257113,0.0,15.06745915,-12.5787737,15.05,-12.6,15.05,-12.6,15.05,-12.6,15.03429087,-12.41480008,0.9,-0.1969768073823717,0.037012012012012034,86498021.07576683,0.176917545703906,0.6107502194138861
43,441,dakar,arafat,senegal,6,0,0.707994674194319,,14.71105977,-17.4688686,14.7,-17.45,14.75,-17.399999999999977,14.7,-17.45,14.72094534,-17.45998489,0.0,0.0,,0.0,0.10321838162254962,0.0
44,725,gossas,keur el hadj,senegal,10,1,0.557689664190603,1.0,,,,,,,,,14.72402296,-17.45998489,,,,,,
45,153,thies,hersent,senegal,20,1,0.412665568489378,1.0,14.77685,-16.90942,14.8,-16.9,14.8,-16.9,14.8,-16.9,14.77734506,-16.92877566,0.5,-0.28866827487945557,-0.04456521739130432,30411210.315294128,0.20378657893280377,0.000522531740953558
46,854,diourbel,medinatoul nord,senegal,9,1,1.92524498939435,1.0,14.65733141,-16.23486005,14.65,-16.25,14.65,-16.25,14.65,-16.25,14.66195934,-16.23192106,0.4,-0.20791661739349365,-0.03534482758620686,24261947.253483657,0.2020724582978132,0.7048370557560011
47,927,kebemer,medina,senegal,7,0,1.93301060296294,1.0,,,,,,,,,14.72402296,-17.45998489,,,,,,
48,823,foundiougne,passy leona,senegal,5,3,1.94595329224392,1.0,13.98148365,-16.3182542,14.0,-16.3,14.0,-16.3,14.0,-16.3,13.9817835,-16.26780651,0.2,-0.29182225465774536,-0.017372881355932162,40611737.75569371,0.2197597427540699,0.33093483947087843
