,house,date,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,NDVI_lat,NDVI_lon,sev_lat,sev_lon,pop_cent_lat,pop_cent_long,annual_frequency,severity,autocorrelation,avg_area,NDVI_mean,SVI_severity
0,1,2/22/2010,kampala,busabala road d,uganda,2,1,3.001766076,0.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.8,-0.3000282711452908,-0.05457516339869277,291771631.57340485,0.246718831689187,-0.115748675021022
1,2,2/22/2010,kampala,busabala road d,uganda,1,0,3.204158285,,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.8,-0.3000282711452908,-0.05457516339869277,291771631.57340485,0.246718831689187,-0.115748675021022
2,3,2/22/2010,kampala,busabala road d,uganda,3,2,3.267929571,1.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.8,-0.3000282711452908,-0.05457516339869277,291771631.57340485,0.246718831689187,-0.115748675021022
3,4,2/22/2010,kampala,busabala road d,uganda,3,1,3.880181089,1.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.8,-0.3000282711452908,-0.05457516339869277,291771631.57340485,0.246718831689187,-0.115748675021022
4,5,2/22/2010,kampala,busabala road d,uganda,1,1,2.697788511,1.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.8,-0.3000282711452908,-0.05457516339869277,291771631.57340485,0.246718831689187,-0.115748675021022
5,6,2/22/2010,kampala,busabala road d,uganda,1,1,3.161241913,0.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.8,-0.3000282711452908,-0.05457516339869277,291771631.57340485,0.246718831689187,-0.115748675021022
6,7,2/22/2010,kampala,busabala road d,uganda,2,0,2.817889604,,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.8,-0.3000282711452908,-0.05457516339869277,291771631.57340485,0.246718831689187,-0.115748675021022
7,8,2/22/2010,kampala,busabala road d,uganda,3,0,2.83542528,,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.8,-0.3000282711452908,-0.05457516339869277,291771631.57340485,0.246718831689187,-0.115748675021022
8,9,2/22/2010,kampala,busabala road d,uganda,2,1,4.191692264,0.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.8,-0.3000282711452908,-0.05457516339869277,291771631.57340485,0.246718831689187,-0.115748675021022
9,10,2/22/2010,kampala,busabala road d,uganda,2,1,3.161241913,0.0,0.276867,32.57624,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.8,-0.3000282711452908,-0.05457516339869277,291771631.57340485,0.246718831689187,-0.115748675021022
10,11,2/19/2010,kampala,ssebalijja zone b,uganda,3,2,3.584183526,0.0,0.31136,32.56829,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.59039133,1.8,-0.33203114403618705,-0.05457516339869277,291771631.57340485,0.22691358473435866,-0.5582116044956996
11,12,2/19/2010,kampala,ssebalijja zone b,uganda,4,0,3.132630998,,0.31136,32.56829,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.59039133,1.8,-0.33203114403618705,-0.05457516339869277,291771631.57340485,0.22691358473435866,-0.5582116044956996
12,13,2/19/2010,kampala,ssebalijja zone b,uganda,2,1,2.611955767,0.0,0.31136,32.56829,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.59039133,1.8,-0.33203114403618705,-0.05457516339869277,291771631.57340485,0.22691358473435866,-0.5582116044956996
13,14,2/19/2010,kampala,ssebalijja zone b,uganda,2,1,3.613795203,0.0,0.31136,32.56829,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.59039133,1.8,-0.33203114403618705,-0.05457516339869277,291771631.57340485,0.22691358473435866,-0.5582116044956996
14,15,2/19/2010,kampala,ssebalijja zone b,uganda,5,0,3.433976224,,0.31136,32.56829,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.59039133,1.8,-0.33203114403618705,-0.05457516339869277,291771631.57340485,0.22691358473435866,-0.5582116044956996
15,17,2/19/2010,kampala,ssebalijja zone b,uganda,3,4,3.837264717,0.0,0.31136,32.56829,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.59039133,1.8,-0.33203114403618705,-0.05457516339869277,291771631.57340485,0.22691358473435866,-0.5582116044956996
16,18,2/19/2010,kampala,ssebalijja zone b,uganda,4,2,3.579891889,0.0,0.31136,32.56829,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.59039133,1.8,-0.33203114403618705,-0.05457516339869277,291771631.57340485,0.22691358473435866,-0.5582116044956996
17,19,2/19/2010,kampala,ssebalijja zone b,uganda,4,1,3.075409169,0.0,0.31136,32.56829,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.59039133,1.8,-0.33203114403618705,-0.05457516339869277,291771631.57340485,0.22691358473435866,-0.5582116044956996
18,20,1/19/2010,kampala,ssebalijja zone b,uganda,2,5,2.89528581,1.0,0.31136,32.56829,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.59039133,1.8,-0.33203114403618705,-0.05457516339869277,291771631.57340485,0.22691358473435866,-0.5582116044956996
19,21,2/18/2010,kampala,kizungu zone a,uganda,5,0,1.247404026,1.0,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.8,-0.3000282711452908,-0.05457516339869277,291771631.57340485,0.246718831689187,-0.115748675021022
20,22,2/15/2010,kampala,kizungu zone a,uganda,2,1,3.908792003,0.0,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.8,-0.3000282711452908,-0.05457516339869277,291771631.57340485,0.246718831689187,-0.115748675021022
21,23,2/18/2010,kampala,kizungu zone a,uganda,15,1,2.714656166,1.0,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.8,-0.3000282711452908,-0.05457516339869277,291771631.57340485,0.246718831689187,-0.115748675021022
22,24,2/18/2010,kampala,kizungu zone a,uganda,4,1,2.434387135,0.0,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.8,-0.3000282711452908,-0.05457516339869277,291771631.57340485,0.246718831689187,-0.115748675021022
23,25,2/18/2010,kampala,kizungu zone a,uganda,5,0,3.577030797,,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.8,-0.3000282711452908,-0.05457516339869277,291771631.57340485,0.246718831689187,-0.115748675021022
24,26,2/18/2010,kampala,kizungu zone a,uganda,6,2,-0.728916392,0.0,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.8,-0.3000282711452908,-0.05457516339869277,291771631.57340485,0.246718831689187,-0.115748675021022
25,27,2/18/2010,kampala,kizungu zone a,uganda,5,0,3.587248981,,0.27584,32.59018,0.3,32.6,0.3,32.6,0.3,32.6,0.255971561,32.59039133,1.8,-0.3000282711452908,-0.05457516339869277,291771631.57340485,0.246718831689187,-0.115748675021022
