,house,date,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,pop_cent_lat,pop_cent_long,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
0,1,2/22/2010,kampala,busabala road d,uganda,2,1,3.001766076,0,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.699814469,-1.772027269,2.125,1,-3.82221806,-0.6,435975283.3422004,0.26081066048879575,-0.279583928
1,2,2/22/2010,kampala,busabala road d,uganda,1,0,3.204158285,,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.699814469,-1.772027269,2.125,1,-3.82221806,-0.6,435975283.3422004,0.26081066048879575,-0.279583928
2,3,2/22/2010,kampala,busabala road d,uganda,3,2,3.267929571,1,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.699814469,-1.772027269,2.125,1,-3.82221806,-0.6,435975283.3422004,0.26081066048879575,-0.279583928
3,4,2/22/2010,kampala,busabala road d,uganda,3,1,3.880181089,1,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.699814469,-1.772027269,2.125,1,-3.82221806,-0.6,435975283.3422004,0.26081066048879575,-0.279583928
4,5,2/22/2010,kampala,busabala road d,uganda,1,1,2.697788511,1,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.699814469,-1.772027269,2.125,1,-3.82221806,-0.6,435975283.3422004,0.26081066048879575,-0.279583928
5,6,2/22/2010,kampala,busabala road d,uganda,1,1,3.161241913,0,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.699814469,-1.772027269,2.125,1,-3.82221806,-0.6,435975283.3422004,0.26081066048879575,-0.279583928
6,7,2/22/2010,kampala,busabala road d,uganda,2,0,2.817889604,,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.699814469,-1.772027269,2.125,1,-3.82221806,-0.6,435975283.3422004,0.26081066048879575,-0.279583928
7,8,2/22/2010,kampala,busabala road d,uganda,3,0,2.83542528,,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.699814469,-1.772027269,2.125,1,-3.82221806,-0.6,435975283.3422004,0.26081066048879575,-0.279583928
8,9,2/22/2010,kampala,busabala road d,uganda,2,1,4.191692264,0,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.699814469,-1.772027269,2.125,1,-3.82221806,-0.6,435975283.3422004,0.26081066048879575,-0.279583928
9,10,2/22/2010,kampala,busabala road d,uganda,2,1,3.161241913,0,0.276867,32.57624,0.3,32.6,0.255971561,32.59039133,-1.699814469,-1.772027269,2.125,1,-3.82221806,-0.6,435975283.3422004,0.26081066048879575,-0.279583928
