,house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
0,1,nairobi,buruburu phase 1,kenya,10/24/2009,4,0,-2.295708653,,-1.278857181,36.87752154,-1.3,36.9,-1.6927040815353394,-1.766977071762085,2.0,0.8,-3.4520761569341025,-0.29999999999999993,292229481.5451066,0.1868949074233102,-1.872201829025151
1,2,nairobi,buruburu phase 1,kenya,10/24/2009,2,2,-1.897507885,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.6927040815353394,-1.766977071762085,2.0,0.8,-3.4520761569341025,-0.29999999999999993,292229481.5451066,0.1868949074233102,-1.872201829025151
2,3,nairobi,buruburu phase 1,kenya,10/24/2009,4,0,-2.811978856,,-1.278857181,36.87752154,-1.3,36.9,-1.6927040815353394,-1.766977071762085,2.0,0.8,-3.4520761569341025,-0.29999999999999993,292229481.5451066,0.1868949074233102,-1.872201829025151
3,4,nairobi,buruburu phase 1,kenya,10/24/2009,2,2,-3.008395714,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.6927040815353394,-1.766977071762085,2.0,0.8,-3.4520761569341025,-0.29999999999999993,292229481.5451066,0.1868949074233102,-1.872201829025151
4,5,nairobi,buruburu phase 1,kenya,10/24/2009,4,2,-3.320279494,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.6927040815353394,-1.766977071762085,2.0,0.8,-3.4520761569341025,-0.29999999999999993,292229481.5451066,0.1868949074233102,-1.872201829025151
5,6,nairobi,buruburu phase 1,kenya,10/24/2009,4,1,-1.627699987,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.6927040815353394,-1.766977071762085,2.0,0.8,-3.4520761569341025,-0.29999999999999993,292229481.5451066,0.1868949074233102,-1.872201829025151
6,7,nairobi,buruburu phase 1,kenya,10/24/2009,4,1,-2.492088918,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.6927040815353394,-1.766977071762085,2.0,0.8,-3.4520761569341025,-0.29999999999999993,292229481.5451066,0.1868949074233102,-1.872201829025151
7,8,nairobi,buruburu phase 1,kenya,10/24/2009,6,3,-2.750431672,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.6927040815353394,-1.766977071762085,2.0,0.8,-3.4520761569341025,-0.29999999999999993,292229481.5451066,0.1868949074233102,-1.872201829025151
8,9,nairobi,buruburu phase 1,kenya,10/24/2009,5,1,-2.564597876,0.0,-1.278857181,36.87752154,-1.3,36.9,-1.6927040815353394,-1.766977071762085,2.0,0.8,-3.4520761569341025,-0.29999999999999993,292229481.5451066,0.1868949074233102,-1.872201829025151
9,10,nairobi,buruburu phase 1,kenya,10/24/2009,5,0,-2.675566091,,-1.278857181,36.87752154,-1.3,36.9,-1.6927040815353394,-1.766977071762085,2.0,0.8,-3.4520761569341025,-0.29999999999999993,292229481.5451066,0.1868949074233102,-1.872201829025151
10,11,nairobi,buruburu phase 1,kenya,10/24/2009,5,0,-3.503394582,,-1.278857181,36.87752154,-1.3,36.9,-1.6927040815353394,-1.766977071762085,2.0,0.8,-3.4520761569341025,-0.29999999999999993,292229481.5451066,0.1868949074233102,-1.872201829025151
11,12,nairobi,buruburu phase 1,kenya,11/2/2009,7,2,-2.488879325,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.6927040815353394,-1.766977071762085,2.0,0.8,-3.4520761569341025,-0.29999999999999993,292229481.5451066,0.1868949074233102,-1.872201829025151
12,13,nairobi,buruburu phase 1,kenya,11/3/2009,6,1,-3.724496146,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.6927040815353394,-1.766977071762085,2.0,0.8,-3.4520761569341025,-0.29999999999999993,292229481.5451066,0.1868949074233102,-1.872201829025151
13,14,nairobi,buruburu phase 1,kenya,11/3/2009,5,2,-3.386847219,0.0,-1.278857181,36.87752154,-1.3,36.9,-1.6927040815353394,-1.766977071762085,2.0,0.8,-3.4520761569341025,-0.29999999999999993,292229481.5451066,0.1868949074233102,-1.872201829025151
14,15,nairobi,buruburu phase 1,kenya,11/3/2009,2,0,-2.349739956,,-1.278857181,36.87752154,-1.3,36.9,-1.6927040815353394,-1.766977071762085,2.0,0.8,-3.4520761569341025,-0.29999999999999993,292229481.5451066,0.1868949074233102,-1.872201829025151
15,16,nairobi,buruburu phase 1,kenya,11/2/2009,4,2,-2.405191567,1.0,-1.278857181,36.87752154,-1.3,36.9,-1.6927040815353394,-1.766977071762085,2.0,0.8,-3.4520761569341025,-0.29999999999999993,292229481.5451066,0.1868949074233102,-1.872201829025151
16,17,nairobi,buruburu phase 1,kenya,11/7/2009,4,0,0.369446825,,-1.278857181,36.87752154,-1.3,36.9,-1.6927040815353394,-1.766977071762085,2.0,0.8,-3.4520761569341025,-0.29999999999999993,292229481.5451066,0.1868949074233102,-1.872201829025151
17,18,kiambu,mbwa kali,kenya,11/8/2009,1,3,-0.199933874,0.0,-1.170804963,36.83215946,-1.15,36.85,-1.725689858198166,-1.7882348597049713,2.25,0.6,-3.9089466631412506,0.06666666666666665,413029382.9447616,0.22856255272502962,-0.8916113182117079
