,house,department,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,pop_cent_lat,pop_cent_long,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
0,1171,nioro,sonkorong,senegal,7,2,-1.51786772793973,1.0,13.76929622,-15.58749555,13.75,-15.6,13.7751637,-15.63622426,-1.5440368354320526,-1.5532322824001312,1.25,0.3,-2.0659200847148895,0.3666666666666667,50659863.85210458,0.19663758423320404,-0.08080332217535056
1,384,mbour,thiarene h2,senegal,7,0,-3.10019005523989,,15.7668346,-13.47659022,15.75,-13.5,15.71702669,-13.36263999,-1.3889042735099792,-1.4455137252807617,1.5,0.4,-2.0787097215652466,-0.3999999999999999,81459134.1193917,0.15360246360851137,0.043840330608703224
2,1727,bignona,hilole,senegal,7,1,-1.72774817956823,0.0,12.85643014,-16.67789504,12.85,-16.7,12.89534328,-16.73379647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17822202154826144,0.0
3,1402,matam,boinadji roumde,senegal,12,2,-2.43723877919777,1.0,15.66051954,-13.35041654,15.65,-13.35,15.6680352,-13.36263999,-1.366512656211853,-1.4358363151550293,1.75,0.4,-2.3698430359363556,-0.3999999999999999,77561722.88975699,0.14329296566920452,0.3603540429932961
4,1514,kanel,gouriki samba diane,senegal,10,2,-3.19728626974746,1.0,15.43742604,-12.95155738,15.45,-12.95,15.38130032,-13.36263999,-1.4474821885426838,-1.4672706921895344,1.5,0.4,-2.1419710318247476,0.10000000000000009,85355231.55337082,0.14779779928913006,0.3649015351089709
5,1750,bakel,moudery,senegal,7,2,0.0466176831696105,0.0,15.06745915,-12.5787737,15.05,-12.6,15.03429087,-12.41480008,-1.3424674719572067,-1.3781270533800125,1.625,0.5,-2.2130324244499207,-0.09999999999999998,99944014.9799662,0.16096586986888756,1.11048902223051
6,1508,kanel,sinthiane dioude,senegal,33,5,-1.34645758960981,1.0,16.59843864,-14.88228312,16.6,-14.9,16.47147469,-14.92254071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14150434059062927,0.0
7,1747,bakel,ndiaye counda,senegal,14,3,-1.90457681735586,1.0,14.1372415,-15.49080373,14.15,-15.5,14.13637726,-15.5307987,-1.5200930833816528,-1.6106274127960205,2.0,0.2,-3.0401861667633057,-0.19999999999999973,30258285.749561816,0.19275533250256532,1.8791337657119103
8,1522,kanel,sinthiane dioude,senegal,13,2,-1.98916277844878,1.0,16.59843864,-14.88228312,16.6,-14.9,16.47147469,-14.92254071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14150434059062927,0.0
9,1865,podor,yelitare,senegal,14,2,-2.05905330056609,1.0,16.52936484,-15.20234492,16.55,-15.2,16.47147469,-15.27583107,-1.4163707494735718,-1.4776710271835327,1.3333333333333333,0.3,-1.8759554624557495,-0.30000000000000004,153771383.6199495,0.13955652235616364,0.6243477840838064
10,1896,podor,mery,senegal,7,1,-1.45158269252145,1.0,16.42777753,-14.09801568,16.45,-14.1,16.42033799,-14.01712506,-1.497347131371498,-1.5201416462659836,1.5,0.5,-2.2504524141550064,-0.09999999999999998,102753802.7739172,0.13597522943041296,-0.5094928944360394
11,1229,diourbel,thierno kandji,senegal,10,1,-1.71278922589878,1.0,14.6563661,-16.23464222,14.65,-16.25,14.66195934,-16.23192106,-1.4404619137446086,-1.4663568337758381,1.3333333333333333,0.3,-1.9705688158671062,-0.30000000000000004,24261947.253483657,0.18154962561663165,0.9397827410080014
12,921,bambeye,paye baridian,senegal,13,5,-1.75083613499743,1.0,14.71688363,-17.46683875,14.7,-17.45,14.72094534,-17.45998489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
13,1776,kolda,doumanssou,senegal,13,1,-1.11473712000969,1.0,12.90032016,-14.9476098,12.9,-14.95,12.89534328,-14.93936134,-1.5743701060612998,-1.7277136643727622,1.6666666666666667,0.4,-2.6800917585690813,1.1000000000000005,137391473.71938,0.2440006572033382,0.8576594875146355
14,1772,kolda,damassou,senegal,9,0,-1.98796774537222,,12.90032016,-14.9476098,12.9,-14.95,12.89534328,-14.93936134,-1.5743701060612998,-1.7277136643727622,1.6666666666666667,0.4,-2.6800917585690813,1.1000000000000005,137391473.71938,0.2440006572033382,0.8576594875146355
15,1643,nioro,keur amath drame,senegal,24,4,-2.420559705769,1.0,13.78607662,-15.79470889,13.8,-15.8,13.7751637,-15.78133054,-1.382529765367508,-1.3989005386829376,1.25,0.3,-1.8861394226551056,0.3666666666666667,50659863.85210458,0.20054917235513914,-0.33302045838406835
16,1590,kanel,sorry,senegal,6,0,-3.45906424442952,,15.20066949,-12.94539215,15.2,-12.95,15.23872587,-13.36263999,-1.4016615549723306,-1.4121493299802146,1.1666666666666665,0.4,-1.6579746206601462,1.1000000000000005,39964485.85738085,0.16986689693492946,0.2831974274434441
17,1880,podor,dodele,senegal,4,3,-1.40742305844117,1.0,16.50354464,-14.42019001,16.5,-14.4,16.47147469,-14.56250057,-1.420293152332306,-1.4206809997558594,1.25,0.5,-1.8065381050109863,-0.09999999999999998,112842125.90767488,0.13668133145939754,0.07178261135265318
18,939,kebemer,medina,senegal,12,2,-2.55367291637621,1.0,,,,,14.72402296,-17.45998489,,,,,,,,,
19,1029,louga,montagne,senegal,10,1,-1.7698183583087,1.0,15.62330287,-16.21748196,15.6,-16.2,15.6680352,-16.23192106,-1.4591489434242249,-1.4831380248069763,1.5,0.4,-2.2101719975471497,-0.4,26165160.606896564,0.17280874637308202,1.0395313040043792
20,832,diourbel,medinatoul,senegal,7,1,-0.258797686676105,1.0,14.73727345,-16.24237956,14.75,-16.25,14.74391863,-16.24558632,-1.43814484278361,-1.4564633170763652,1.5,0.4,-2.155242065588633,0.10000000000000031,32088421.975644197,0.1837716228873471,0.9820974834469061
21,2,dakar,grand medine,senegal,5,1,-0.49010264044386,1.0,14.74795,-17.44715,14.75,-17.45,14.74391863,-17.45998489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09401770258871438,0.0
22,1551,matam,mango,senegal,2,0,1.19574530999332,,15.60094582,-13.322622,15.6,-13.3,15.6680352,-13.36263999,-1.4188188016414642,-1.4215432703495026,1.25,0.4,-1.735464483499527,-0.3999999999999999,91726539.81112185,0.1472688548740653,0.07381355852213005
23,1781,kolda,doumassou,senegal,5,1,0.874811596474885,1.0,12.90032016,-14.9476098,12.9,-14.95,12.89534328,-14.93936134,-1.5743701060612998,-1.7277136643727622,1.6666666666666667,0.4,-2.6800917585690813,1.1000000000000005,137391473.71938,0.2440006572033382,0.8576594875146355
24,731,gossas,keur el hadji,senegal,3,1,-0.0938905115838952,1.0,14.49623916,-16.0640894,14.5,-16.05,14.50274052,-16.09656209,-1.492220938205719,-1.5602096319198608,1.5,0.2,-2.2927871346473694,-0.19999999999999973,31678417.24061081,0.18438455557915162,1.6016210146605447
25,1782,kolda,doumanssou,senegal,8,1,1.33072991037169,1.0,12.90032016,-14.9476098,12.9,-14.95,12.89534328,-14.93936134,-1.5743701060612998,-1.7277136643727622,1.6666666666666667,0.4,-2.6800917585690813,1.1000000000000005,137391473.71938,0.2440006572033382,0.8576594875146355
26,1387,matam,boinadji roumbe,senegal,8,0,0.619748596985106,1.0,,,,,14.72402296,-17.45998489,,,,,,,,,
27,350,thies,mbour i,senegal,10,1,1.78508331330359,0.0,14.68562239,-17.45034661,14.7,-17.45,14.66195934,-17.45998489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
28,1141,kaolack,thiakho djigane,senegal,14,1,-2.27400761729345,1.0,13.99933823,-16.17799307,14.0,-16.2,13.9836423,-16.18754008,-1.6849384307861328,-1.7604918479919434,2.0,0.1,-3.3698768615722656,-0.09999999999999998,40611737.75569371,0.20241024493396145,1.1998922656443574
29,1890,st-louis,dodele,senegal,5,3,0.736232800513952,1.0,16.50354464,-14.42019001,16.5,-14.4,16.47147469,-14.56250057,-1.420293152332306,-1.4206809997558594,1.25,0.5,-1.8065381050109863,-0.09999999999999998,112842125.90767488,0.13668133145939754,0.07178261135265318
30,415,guediawaye,cite des enseignants,senegal,6,1,1.41099255307871,1.0,14.77683245,-17.40519022,14.8,-17.4,14.77734506,-17.39599836,-1.726071834564209,-1.726071834564209,2.0,0.3,-3.452143669128418,-0.30000000000000004,141962.16483858545,,0.20241083987855846
