,house,country,hh_size,migrant_num,wealth_index,remit,municipality,lat,long,district,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
0,1,south_africa,1,0,-3.484753242393622,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-1.7587687969207764,-1.8229289650917053,2.0,0.4,-3.6780319809913635,-0.3999999999999999,243943202.71426648,0.21580417573981384,0.4200968363923242
1,2,south_africa,5,0,-0.304825260432498,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-1.7587687969207764,-1.8229289650917053,2.0,0.4,-3.6780319809913635,-0.3999999999999999,243943202.71426648,0.21580417573981384,0.4200968363923242
2,3,south_africa,1,0,-1.1474315617537405,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-1.7587687969207764,-1.8229289650917053,2.0,0.4,-3.6780319809913635,-0.3999999999999999,243943202.71426648,0.21580417573981384,0.4200968363923242
3,4,south_africa,7,0,-0.16671592898222,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-1.7587687969207764,-1.8229289650917053,2.0,0.4,-3.6780319809913635,-0.3999999999999999,243943202.71426648,0.21580417573981384,0.4200968363923242
4,5,south_africa,4,0,-0.4941374196180803,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-1.7587687969207764,-1.8229289650917053,2.0,0.4,-3.6780319809913635,-0.3999999999999999,243943202.71426648,0.21580417573981384,0.4200968363923242
5,6,south_africa,5,0,-1.7848128510806058,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-1.7587687969207764,-1.8229289650917053,2.0,0.4,-3.6780319809913635,-0.3999999999999999,243943202.71426648,0.21580417573981384,0.4200968363923242
6,7,south_africa,4,0,-0.304825260432498,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-1.7587687969207764,-1.8229289650917053,2.0,0.4,-3.6780319809913635,-0.3999999999999999,243943202.71426648,0.21580417573981384,0.4200968363923242
7,8,south_africa,3,0,-0.304825260432498,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-1.7587687969207764,-1.8229289650917053,2.0,0.4,-3.6780319809913635,-0.3999999999999999,243943202.71426648,0.21580417573981384,0.4200968363923242
8,9,south_africa,2,0,-1.007534093554986,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-1.7587687969207764,-1.8229289650917053,2.0,0.4,-3.6780319809913635,-0.3999999999999999,243943202.71426648,0.21580417573981384,0.4200968363923242
9,10,south_africa,1,0,0.8934689034603054,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-1.7587687969207764,-1.8229289650917053,2.0,0.4,-3.6780319809913635,-0.3999999999999999,243943202.71426648,0.21580417573981384,0.4200968363923242
