,house,country,hh_size,migrant_num,wealth_index,remit,municipality,lat,long,district,lat_SPEI,long_SPEI,pop_cent_lat,pop_cent_long,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
0,1,south_africa,1,0,-3.484753242393622,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
1,2,south_africa,5,0,-0.304825260432498,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
2,3,south_africa,1,0,-1.1474315617537405,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
3,4,south_africa,7,0,-0.16671592898222,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
4,5,south_africa,4,0,-0.4941374196180803,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
5,6,south_africa,5,0,-1.7848128510806058,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
6,7,south_africa,4,0,-0.304825260432498,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
7,8,south_africa,3,0,-0.304825260432498,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
8,9,south_africa,2,0,-1.007534093554986,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
9,10,south_africa,1,0,0.8934689034603054,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
10,11,south_africa,6,0,-0.304825260432498,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
11,12,south_africa,6,0,-0.9933143889711,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
12,13,south_africa,6,0,1.3784950403262703,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
13,14,south_africa,2,0,-1.8753559302421887,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
14,15,south_africa,3,0,-2.6410859912636933,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
15,16,south_africa,1,2,-2.9997252691279037,1.0,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
16,17,south_africa,1,0,-2.79626411385502,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
17,18,south_africa,2,0,-2.7192055274637,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
18,19,south_africa,5,0,0.5575044795279581,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
19,20,south_africa,6,0,0.5575044795279581,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
20,21,south_africa,1,0,0.542092762249694,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
21,22,south_africa,6,0,-0.3671985571678829,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
22,23,south_africa,6,0,-0.439218994575924,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
23,24,south_africa,2,1,-0.1309846490106437,1.0,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
24,25,south_africa,4,0,-2.4394025661923573,,city of tshwane metro,-25.74428048,28.19396787,city of tshwane metropolitan municipality,-25.75,28.2,-25.69158771,28.24100309,-1.5603216886520386,-1.8229289650917053,5.0,0.4,-7.603725910186768,-0.3999999999999999,284990474.8386017,0.21580417573981384,-0.1419026388037098
