,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
0,1,kampala,busabala road d,uganda,2,1,3.001766076,0,0.276867,32.57624,0.3,32.6,-1.728483975,-1.801279515,2.25,0.8,-4.050063729,-0.8,263936467.40063375,0.26081066048879575,-0.260434519
1,2,kampala,busabala road d,uganda,1,0,3.204158285,,0.276867,32.57624,0.3,32.6,-1.728483975,-1.801279515,2.25,0.8,-4.050063729,-0.8,263936467.40063375,0.26081066048879575,-0.260434519
2,3,kampala,busabala road d,uganda,3,2,3.267929571,1,0.276867,32.57624,0.3,32.6,-1.728483975,-1.801279515,2.25,0.8,-4.050063729,-0.8,263936467.40063375,0.26081066048879575,-0.260434519
3,4,kampala,busabala road d,uganda,3,1,3.880181089,1,0.276867,32.57624,0.3,32.6,-1.728483975,-1.801279515,2.25,0.8,-4.050063729,-0.8,263936467.40063375,0.26081066048879575,-0.260434519
4,5,kampala,busabala road d,uganda,1,1,2.697788511,1,0.276867,32.57624,0.3,32.6,-1.728483975,-1.801279515,2.25,0.8,-4.050063729,-0.8,263936467.40063375,0.26081066048879575,-0.260434519
5,6,kampala,busabala road d,uganda,1,1,3.161241913,0,0.276867,32.57624,0.3,32.6,-1.728483975,-1.801279515,2.25,0.8,-4.050063729,-0.8,263936467.40063375,0.26081066048879575,-0.260434519
6,7,kampala,busabala road d,uganda,2,0,2.817889604,,0.276867,32.57624,0.3,32.6,-1.728483975,-1.801279515,2.25,0.8,-4.050063729,-0.8,263936467.40063375,0.26081066048879575,-0.260434519
7,8,kampala,busabala road d,uganda,3,0,2.83542528,,0.276867,32.57624,0.3,32.6,-1.728483975,-1.801279515,2.25,0.8,-4.050063729,-0.8,263936467.40063375,0.26081066048879575,-0.260434519
8,9,kampala,busabala road d,uganda,2,1,4.191692264,0,0.276867,32.57624,0.3,32.6,-1.728483975,-1.801279515,2.25,0.8,-4.050063729,-0.8,263936467.40063375,0.26081066048879575,-0.260434519
9,10,kampala,busabala road d,uganda,2,1,3.161241913,0,0.276867,32.57624,0.3,32.6,-1.728483975,-1.801279515,2.25,0.8,-4.050063729,-0.8,263936467.40063375,0.26081066048879575,-0.260434519
10,11,kampala,ssebalijja zone b,uganda,3,2,3.584183526,0,0.31136,32.56829,0.3,32.55,-1.752386659,-1.825076967,2.25,0.8,-4.122070104,-0.8,263936467.40063375,0.25546881562277934,-1.25597611
11,12,kampala,ssebalijja zone b,uganda,4,0,3.132630998,,0.31136,32.56829,0.3,32.55,-1.752386659,-1.825076967,2.25,0.8,-4.122070104,-0.8,263936467.40063375,0.25546881562277934,-1.25597611
12,13,kampala,ssebalijja zone b,uganda,2,1,2.611955767,0,0.31136,32.56829,0.3,32.55,-1.752386659,-1.825076967,2.25,0.8,-4.122070104,-0.8,263936467.40063375,0.25546881562277934,-1.25597611
13,14,kampala,ssebalijja zone b,uganda,2,1,3.613795203,0,0.31136,32.56829,0.3,32.55,-1.752386659,-1.825076967,2.25,0.8,-4.122070104,-0.8,263936467.40063375,0.25546881562277934,-1.25597611
14,15,kampala,ssebalijja zone b,uganda,5,0,3.433976224,,0.31136,32.56829,0.3,32.55,-1.752386659,-1.825076967,2.25,0.8,-4.122070104,-0.8,263936467.40063375,0.25546881562277934,-1.25597611
15,17,kampala,ssebalijja zone b,uganda,3,4,3.837264717,0,0.31136,32.56829,0.3,32.55,-1.752386659,-1.825076967,2.25,0.8,-4.122070104,-0.8,263936467.40063375,0.25546881562277934,-1.25597611
16,18,kampala,ssebalijja zone b,uganda,4,2,3.579891889,0,0.31136,32.56829,0.3,32.55,-1.752386659,-1.825076967,2.25,0.8,-4.122070104,-0.8,263936467.40063375,0.25546881562277934,-1.25597611
17,19,kampala,ssebalijja zone b,uganda,4,1,3.075409169,0,0.31136,32.56829,0.3,32.55,-1.752386659,-1.825076967,2.25,0.8,-4.122070104,-0.8,263936467.40063375,0.25546881562277934,-1.25597611
18,20,kampala,ssebalijja zone b,uganda,2,5,2.89528581,1,0.31136,32.56829,0.3,32.55,-1.752386659,-1.825076967,2.25,0.8,-4.122070104,-0.8,263936467.40063375,0.25546881562277934,-1.25597611
19,21,kampala,kizungu zone a,uganda,5,0,1.247404026,1,0.27584,32.59018,0.3,32.6,-1.728483975,-1.801279515,2.25,0.8,-4.050063729,-0.8,263936467.40063375,0.26081066048879575,-0.260434519
