house,census_tract,district,country,date,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,lat,long
1,busabala road d,kampala,uganda,2010-02-22,3.0017660760606,2,1,NA,hh,international,5,NA,0.276867,32.57624
2,busabala road d,kampala,uganda,2010-02-22,3.20415828498991,1,0,NA,NA,NA,NA,NA,0.276867,32.57624
3,busabala road d,kampala,uganda,2010-02-22,3.26792957093286,3,2,1,hh,national,19,1,0.276867,32.57624
3,busabala road d,kampala,uganda,2010-02-22,3.26792957093286,3,2,1,hh,international,9,NA,0.276867,32.57624
4,busabala road d,kampala,uganda,2010-02-22,3.88018108866505,3,1,1,hh,international,38,1,0.276867,32.57624
5,busabala road d,kampala,uganda,2010-02-22,2.69778851089632,1,1,1,hh,international,27,1,0.276867,32.57624
6,busabala road d,kampala,uganda,2010-02-22,3.16124191293422,1,1,NA,hh,national,4,NA,0.276867,32.57624
7,busabala road d,kampala,uganda,2010-02-22,2.81788960437273,2,0,NA,NA,NA,NA,NA,0.276867,32.57624
8,busabala road d,kampala,uganda,2010-02-22,2.83542527997348,3,0,NA,NA,NA,NA,NA,0.276867,32.57624
9,busabala road d,kampala,uganda,2010-02-22,4.19169226427388,2,1,NA,hh,national,24,NA,0.276867,32.57624
10,busabala road d,kampala,uganda,2010-02-22,3.16124191293422,2,1,NA,hh,national,9,NA,0.276867,32.57624
11,ssebalijja zone b,kampala,uganda,2010-02-19,3.58418352577131,3,2,NA,hh,international,20,NA,0.31136,32.56829
11,ssebalijja zone b,kampala,uganda,2010-02-19,3.58418352577131,3,2,NA,hh,international,37,NA,0.31136,32.56829
12,ssebalijja zone b,kampala,uganda,2010-02-19,3.13263099823042,4,0,NA,NA,NA,NA,NA,0.31136,32.56829
13,ssebalijja zone b,kampala,uganda,2010-02-19,2.61195576678493,2,1,NA,hh,international,11,NA,0.31136,32.56829
14,ssebalijja zone b,kampala,uganda,2010-02-19,3.6137952034208,2,1,NA,hh,international,18,NA,0.31136,32.56829
15,ssebalijja zone b,kampala,uganda,2010-02-19,3.43397622357638,5,0,NA,NA,NA,NA,NA,0.31136,32.56829
17,ssebalijja zone b,kampala,uganda,2010-02-19,3.83726471660935,3,4,NA,hh,national,9,NA,0.31136,32.56829
17,ssebalijja zone b,kampala,uganda,2010-02-19,3.83726471660935,3,4,NA,hh,international,68,NA,0.31136,32.56829
17,ssebalijja zone b,kampala,uganda,2010-02-19,3.83726471660935,3,4,NA,hh,national,15,NA,0.31136,32.56829
17,ssebalijja zone b,kampala,uganda,2010-02-19,3.83726471660935,3,4,NA,hh,international,29,NA,0.31136,32.56829
18,ssebalijja zone b,kampala,uganda,2010-02-19,3.57989188856574,4,2,NA,hh,national,8,NA,0.31136,32.56829
18,ssebalijja zone b,kampala,uganda,2010-02-19,3.57989188856574,4,2,NA,hh,national,26,NA,0.31136,32.56829
19,ssebalijja zone b,kampala,uganda,2010-02-19,3.07540916882282,4,1,NA,hh,national,34,NA,0.31136,32.56829
20,ssebalijja zone b,kampala,uganda,2010-01-19,2.89528581047947,2,5,1,hh,international,25,NA,0.31136,32.56829
20,ssebalijja zone b,kampala,uganda,2010-01-19,2.89528581047947,2,5,1,hh,international,184,1,0.31136,32.56829
20,ssebalijja zone b,kampala,uganda,2010-01-19,2.89528581047947,2,5,1,hh,international,9,NA,0.31136,32.56829
20,ssebalijja zone b,kampala,uganda,2010-01-19,2.89528581047947,2,5,1,hh,international,46,NA,0.31136,32.56829
20,ssebalijja zone b,kampala,uganda,2010-01-19,2.89528581047947,2,5,1,hh,international,87,NA,0.31136,32.56829
21,kizungu zone a,kampala,uganda,2010-02-18,1.24740402622381,5,0,1,non-hh,international,NA,1,0.27584,32.59018
22,kizungu zone a,kampala,uganda,2010-02-15,3.90879200336884,2,1,NA,hh,international,25,NA,0.27584,32.59018
23,kizungu zone a,kampala,uganda,2010-02-18,2.71465616607694,15,1,1,hh,international,123,1,0.27584,32.59018
24,kizungu zone a,kampala,uganda,2010-02-18,2.43438713483976,4,1,NA,hh,national,5,NA,0.27584,32.59018
25,kizungu zone a,kampala,uganda,2010-02-18,3.57703079709536,5,0,NA,NA,NA,NA,NA,0.27584,32.59018
26,kizungu zone a,kampala,uganda,2010-02-18,-0.728916391615514,6,2,NA,hh,national,16,NA,0.27584,32.59018
26,kizungu zone a,kampala,uganda,2010-02-18,-0.728916391615514,6,2,NA,hh,national,20,NA,0.27584,32.59018
27,kizungu zone a,kampala,uganda,2010-02-18,3.58724898091815,5,0,NA,NA,NA,NA,NA,0.27584,32.59018
28,kizungu zone a,kampala,uganda,2010-02-18,3.11832554087852,3,0,NA,NA,NA,NA,NA,0.27584,32.59018
29,kizungu zone a,kampala,uganda,2010-02-18,3.57703079709536,5,2,NA,hh,international,81,NA,0.27584,32.59018
29,kizungu zone a,kampala,uganda,2010-02-18,3.57703079709536,5,2,NA,hh,international,50,NA,0.27584,32.59018
30,kizungu zone a,kampala,uganda,2010-02-18,3.53685011221948,5,1,NA,hh,international,25,NA,0.27584,32.59018
31,kaboole/butinga,manafwa,uganda,2010-02-15,-0.163884677753636,4,1,1,hh,national,96,1,0.88334,34.42642
32,kaboole/butinga,manafwa,uganda,2010-02-15,-1.06362067748632,3,0,NA,NA,NA,NA,NA,0.88334,34.42642
33,kaboole/butinga,manafwa,uganda,2010-02-15,-1.96212708493153,3,0,1,non-hh,national,NA,1,0.88334,34.42642
34,kaboole/butinga,manafwa,uganda,2010-02-15,-1.00753680992402,3,1,NA,hh,national,29,NA,0.88334,34.42642
35,kaboole/butinga,manafwa,uganda,2010-02-15,-1.81111230227455,5,1,NA,hh,national,46,NA,0.88334,34.42642
36,kaboole/butinga,manafwa,uganda,2010-02-15,-1.48643914982937,6,0,NA,NA,NA,NA,NA,0.88334,34.42642
37,kaboole/butinga,manafwa,uganda,2010-02-15,-0.94051950478684,5,0,NA,NA,NA,NA,NA,0.88334,34.42642
38,kaboole/butinga,manafwa,uganda,2010-02-15,-2.5372884586048,6,0,NA,NA,NA,NA,NA,0.88334,34.42642
39,kaboole/butinga,manafwa,uganda,2010-02-15,-1.11770614481294,2,1,1,hh,international,41,1,0.88334,34.42642
40,kaboole/butinga,manafwa,uganda,2010-02-15,-2.62585688989601,10,0,1,non-hh,national,NA,1,0.88334,34.42642
41,bugaga/bunangwe,kamuli,uganda,2010-02-16,-1.3088705178842,6,0,NA,NA,NA,NA,NA,0.96222,33.25307
